site_id	W116_D1	W116_D5	W60_D5	W42_D5	W40_D1	W115_D5	W117_D5	W58_D5	W59_D1	W60_D1	W58_D1	W41_D1	W41_D5	W40_D5	W59_D5	W117_D1	W115_D1
53365	24	32	56	11	19	23	12	68	57	40	16	55	6	28	66	37	34
53904	1	10	10	4	5	8	2	8	8	6	2	12	3	8	7	13	9
53909	1	7	6	1	3	8	1	6	6	2	2	11	2	6	6	7	8
53933	6	12	4	3	3	10	5	3	3	11	2	9	3	1	3	9	8
53934	6	12	5	3	3	10	6	4	3	10	2	10	3	1	3	9	8
56573	10	8	18	5	5	13	4	11	7	7	1	9	6	7	5	12	13
56574	10	8	18	5	5	13	4	11	7	7	1	8	6	8	5	13	14
56576	8	5	17	4	5	13	4	11	6	7	1	8	6	8	5	13	14
56577	8	5	17	4	5	13	4	11	6	7	1	7	6	7	5	13	13
56578	8	6	17	3	5	13	4	11	6	7	1	8	6	8	5	13	12
56579	8	5	17	3	6	15	4	10	7	7	2	11	6	10	6	13	11
56580	8	6	17	4	6	15	5	10	7	7	2	12	6	11	6	13	11
56819	2	10	4	1	1	9	2	5	1	9	13	14	1	9	3	8	7
56849	7	8	4	2	1	8	5	5	1	7	12	11	2	8	1	7	9
57055	31	32	9	15	21	35	22	10	1	4	19	44	14	31	7	54	46
57065	39	40	9	17	26	51	28	10	1	5	19	59	16	42	4	71	66
57076	37	42	9	18	28	53	30	10	1	5	15	60	15	47	4	77	72
57077	36	41	9	19	31	52	31	10	1	5	15	61	15	47	5	80	71
57103	43	36	8	19	29	51	30	7	1	5	11	66	18	50	5	71	73
59729	53	53	40	33	24	62	53	59	30	43	21	88	22	52	34	87	69
61774	6	3	5	1	1	10	4	3	4	10	10	10	1	1	10	1	4
62283	3	6	38	2	6	15	10	30	9	16	12	16	5	5	28	5	6
62292	5	6	44	4	7	18	10	30	10	18	14	22	6	5	34	9	9
62306	5	8	41	6	11	19	13	30	12	18	15	27	9	6	31	13	10
62484	37	34	20	19	14	67	42	12	9	10	18	71	14	36	14	50	76
62490	39	34	20	19	15	68	43	11	9	11	17	72	14	39	14	56	78
62493	37	35	20	20	14	66	39	11	10	11	18	72	14	36	14	54	78
62586	25	25	3	12	11	31	28	2	4	3	20	42	5	20	1	40	40
62652	10	6	3	6	10	6	9	2	7	8	13	14	2	9	2	21	13
62740	5	7	7	1	2	3	7	3	4	6	14	14	1	6	5	10	5
62745	4	8	7	1	2	3	7	3	4	7	14	11	1	6	4	10	6
62757	6	9	6	4	3	5	14	4	9	8	12	13	2	9	6	12	12
62778	8	10	9	9	10	13	16	10	11	7	13	24	6	11	7	21	24
62847	12	38	15	14	24	21	29	22	17	20	11	43	11	22	12	36	50
62851	16	37	18	14	25	23	30	24	19	31	14	42	11	25	17	36	50
62862	21	41	22	15	23	24	34	33	24	34	14	49	13	29	17	47	49
62922	20	49	35	13	26	23	25	54	30	52	20	48	14	33	40	47	44
63186	39	55	53	36	31	78	36	61	26	43	18	65	24	55	59	60	59
63188	34	57	54	40	31	82	39	66	26	43	24	74	26	62	65	60	63
63192	32	56	51	35	29	80	42	60	23	41	22	70	23	58	65	59	62
63199	31	56	50	33	29	71	41	56	26	40	20	66	20	56	61	56	62
63203	32	57	51	33	28	74	44	54	25	38	21	68	23	59	59	57	65
63207	32	50	49	28	24	67	40	49	24	34	18	59	17	58	47	54	62
63209	32	52	45	31	28	69	41	48	22	35	20	68	19	57	45	54	66
63211	32	51	48	30	29	68	39	52	23	31	18	67	19	55	48	56	66
63212	31	51	48	29	28	67	37	49	21	33	18	63	18	55	48	53	65
63261	19	35	29	22	24	50	35	23	10	22	19	60	16	40	24	47	51
63293	17	36	19	23	24	45	36	17	17	14	19	65	24	34	23	43	50
63302	15	33	15	19	26	45	31	16	18	13	14	63	25	33	22	43	53
63332	13	37	14	14	19	46	32	11	18	10	14	68	23	33	18	41	60
65002	6	8	43	5	3	17	13	49	31	48	5	33	7	17	67	20	13
65014	6	9	47	5	3	17	13	49	32	48	5	33	7	16	70	21	14
65050	5	9	31	4	3	17	13	28	20	33	4	31	7	16	46	17	13
82512	23	38	16	11	11	24	21	11	2	6	2	45	15	22	15	25	20
82527	23	38	23	10	10	24	25	14	6	6	5	43	14	22	17	24	19
82539	24	43	27	11	12	25	25	14	11	7	5	45	15	24	21	27	21
82554	24	42	41	11	13	28	28	23	16	13	8	51	15	24	42	28	21
83133	32	42	8	9	17	51	32	11	8	10	18	40	11	37	9	43	44
83139	32	42	7	11	17	50	32	10	8	12	17	44	11	37	10	50	46
83323	51	77	62	19	26	60	36	61	63	67	12	69	15	51	78	69	75
83334	52	80	64	22	28	63	35	58	65	61	10	75	18	52	74	75	78
83336	49	80	66	22	28	62	33	57	62	60	10	76	18	53	74	73	79
83345	53	81	61	24	28	68	37	61	64	64	10	78	21	61	81	76	78
83351	53	80	56	23	29	68	34	58	64	59	9	75	21	59	81	79	79
83360	48	79	54	21	29	68	41	60	60	58	7	71	21	64	76	74	80
83550	22	28	46	8	11	34	21	56	49	40	24	41	16	29	63	19	35
83560	20	26	40	10	11	24	19	49	49	41	24	32	17	24	56	15	34
83664	3	5	20	6	3	3	4	22	22	15	11	10	3	8	16	8	6
83772	2	5	10	1	1	4	6	9	16	13	10	10	3	9	15	4	2
87254	39	65	7	37	12	71	60	3	4	2	23	75	27	53	2	65	62
87610	33	63	27	14	20	54	43	36	25	21	15	73	28	58	22	77	61
87717	56	83	9	28	17	75	63	12	8	12	9	100	28	47	9	95	63
88110	21	42	1	15	11	61	31	1	3	1	1	41	7	38	6	47	63
88122	18	39	1	14	12	53	27	3	4	1	1	38	8	32	8	43	54
88142	11	27	3	10	8	39	24	3	3	2	1	34	5	26	7	30	50
88148	9	26	3	7	5	33	22	5	7	6	3	28	5	24	10	30	46
88170	6	16	2	4	4	13	11	7	11	10	4	19	4	15	12	16	15
88172	6	14	3	4	4	13	11	7	12	11	4	20	4	16	13	17	15
88176	2	6	6	2	3	9	3	10	11	11	4	11	2	7	16	9	12
88179	1	6	6	1	3	9	2	11	11	13	4	9	2	8	16	7	11
88182	1	1	6	1	2	6	1	11	8	13	3	5	2	3	14	4	3
88256	1	5	30	2	6	2	2	23	24	23	3	5	1	1	30	3	3
88277	10	21	32	9	9	20	10	24	23	19	1	21	7	14	24	27	10
88279	10	22	31	10	10	19	11	26	18	20	1	21	7	16	25	27	10
88292	15	22	30	11	10	24	14	26	19	17	1	22	7	18	26	27	13
88296	14	23	31	12	9	25	13	27	19	20	1	23	6	21	22	25	12
88482	25	37	42	8	14	43	37	36	29	30	3	44	24	48	27	39	39
88490	27	32	42	10	14	41	34	33	27	30	3	49	23	49	25	39	37
88494	27	32	41	11	14	48	38	33	28	32	3	57	26	53	25	43	44
88836	14	20	32	8	6	22	7	40	26	30	2	25	4	18	24	19	16
88847	22	26	47	10	5	29	12	46	34	32	2	33	5	21	32	27	16
90094	16	22	30	6	8	17	19	14	11	11	18	30	7	17	20	25	21
90096	16	21	28	5	7	16	15	13	11	9	18	26	7	14	17	24	20
90099	16	18	18	5	6	11	15	11	10	8	18	17	5	10	15	22	13
90100	16	20	18	5	6	11	15	11	10	8	17	12	5	10	14	22	14
90107	12	14	12	5	4	6	10	9	5	6	15	6	2	8	9	13	9
90752	1	6	2	6	5	9	14	4	2	7	23	9	5	9	5	12	6
90763	2	4	3	5	5	7	13	4	2	8	25	9	5	6	5	10	5
90765	2	6	3	8	5	9	16	4	2	7	25	15	6	10	5	15	6
90766	2	7	1	7	5	9	13	5	1	6	23	17	6	10	4	14	7
90767	2	8	3	8	5	9	16	5	2	7	25	18	6	9	4	14	7
90768	2	8	3	8	5	9	16	5	2	8	25	17	6	11	5	15	8
91106	27	35	7	15	10	40	21	13	9	5	7	62	13	40	9	53	45
91118	28	37	5	15	12	40	22	6	7	2	5	66	14	39	6	49	50
91121	28	32	6	14	12	36	21	7	7	2	5	60	11	38	5	46	46
91136	33	27	3	16	14	43	27	2	5	2	5	61	12	39	3	44	47
91163	41	35	11	20	24	45	29	4	8	10	6	75	17	46	8	51	57
91169	43	37	10	21	25	46	30	4	8	11	6	79	19	48	10	60	61
91190	41	36	11	21	26	46	27	5	4	10	7	74	17	54	8	60	59
91202	37	34	9	19	21	46	27	5	4	9	6	70	16	50	9	50	60
91206	35	36	9	20	27	47	28	4	4	9	6	74	17	54	10	61	62
91212	37	39	15	20	25	54	28	8	7	11	6	81	22	56	11	62	60
91229	32	31	22	18	28	43	25	13	10	11	9	78	20	48	16	56	51
91238	33	33	28	19	27	40	24	16	11	12	9	70	19	42	19	53	46
91262	33	29	35	19	23	38	20	17	18	14	12	66	19	44	21	45	44
91313	28	43	39	28	17	57	30	25	28	21	13	64	20	47	34	53	59
91334	35	53	57	33	18	66	36	39	42	26	20	76	22	56	45	65	68
91511	45	68	80	34	31	48	64	75	64	59	23	84	14	68	63	91	75
91785	2	5	23	2	6	5	2	25	15	19	13	17	1	5	23	7	3
91839	8	10	18	3	2	14	15	14	10	17	12	27	3	15	5	19	11
92812	45	58	43	22	28	65	46	61	43	53	21	100	28	50	53	88	90
93150	19	39	12	24	18	45	35	3	4	8	4	43	15	35	4	57	59
93159	12	31	11	24	16	43	30	1	3	4	5	43	13	32	4	49	55
93160	12	31	11	21	15	43	29	1	3	4	5	42	13	31	4	51	56
93161	11	32	11	23	16	43	29	1	3	4	5	41	13	31	4	50	55
93174	6	24	4	20	11	35	27	1	3	4	4	31	12	28	2	40	48
93247	1	1	3	2	3	5	2	1	3	1	5	4	4	5	2	7	8
94180	9	13	20	8	5	15	4	18	19	14	23	17	3	2	19	16	9
94390	6	4	9	6	1	5	7	8	6	11	17	13	1	9	7	12	6
94703	38	39	37	14	24	60	31	39	29	36	18	69	20	51	29	75	84
94745	46	48	52	18	29	67	33	45	27	47	11	77	20	57	37	82	88
94949	20	24	17	7	18	33	20	21	16	11	2	46	12	11	10	38	27
94952	19	19	15	7	17	31	23	18	15	11	2	41	11	12	8	37	24
94956	20	22	16	7	14	29	22	15	9	11	2	42	11	10	8	38	23
94957	17	17	7	6	9	21	16	9	7	4	2	30	9	7	6	26	19
94959	15	18	5	5	9	20	16	8	7	4	2	33	9	8	2	25	18
98134	13	14	19	7	7	12	11	29	22	26	25	17	6	16	21	16	20
98140	11	13	19	7	8	13	11	27	20	30	24	18	7	15	23	16	22
99958	11	12	9	6	3	12	5	5	7	4	19	10	3	2	9	15	8
100209	15	21	55	12	10	37	24	58	38	50	14	30	3	14	61	39	29
100327	2	5	13	3	5	10	5	12	12	24	17	9	1	3	8	6	8
100360	3	4	18	7	7	5	12	19	13	21	22	13	3	6	9	1	5
100361	5	5	18	7	8	5	12	19	13	23	22	13	3	6	9	1	6
100362	5	5	19	7	8	6	10	20	13	23	22	13	3	6	8	1	6
100457	46	37	41	18	30	55	45	65	42	45	25	74	17	49	50	58	71
100685	51	56	11	19	14	63	37	19	10	10	17	66	18	54	15	69	51
100688	51	54	10	19	16	64	35	17	11	10	16	67	17	50	19	72	53
101546	6	15	24	8	2	11	18	13	10	8	14	14	2	15	11	12	12
102012	23	35	29	20	9	40	23	33	22	30	11	49	7	24	36	38	22
102038	14	19	16	9	4	20	12	14	11	14	4	29	3	16	20	25	10
102042	14	19	15	8	5	19	11	14	7	12	4	24	2	15	21	20	10
102045	14	16	10	11	3	16	9	16	12	13	3	20	3	13	21	13	11
102047	13	15	11	9	3	16	9	15	7	11	3	18	3	12	20	13	11
102048	15	9	9	7	4	10	5	10	6	13	3	12	3	11	18	16	6
102518	50	66	53	23	30	78	46	44	34	22	15	74	23	74	28	89	73
102521	48	65	51	22	30	76	46	44	34	25	16	74	22	74	29	87	69
103073	17	38	76	11	20	53	45	67	35	32	8	45	18	41	52	58	54
103079	20	42	79	16	22	63	48	79	33	36	8	49	18	46	57	61	56
103145	42	64	95	27	29	79	53	87	50	37	7	71	24	66	77	82	85
103217	49	70	71	26	29	69	51	74	42	42	4	74	31	66	64	75	82
103239	41	58	48	17	22	43	39	48	34	33	5	55	28	51	50	59	59
103251	39	51	44	17	20	40	34	44	28	34	4	45	25	47	48	59	58
103268	34	45	42	15	17	39	34	40	21	29	4	46	22	48	45	53	55
103277	27	42	31	11	12	37	25	31	19	24	3	36	21	39	35	44	45
103289	24	37	21	8	12	28	20	24	19	22	2	36	20	37	32	39	36
103291	25	39	21	8	12	29	19	25	19	21	2	36	20	38	31	40	35
103293	25	37	20	8	12	30	20	24	18	22	2	35	20	34	28	39	33
103294	22	39	19	8	11	30	20	16	13	19	1	38	20	38	20	39	34
103322	9	16	5	3	7	19	10	6	5	9	1	18	5	16	7	14	9
103867	10	14	46	8	4	14	8	40	24	23	5	17	2	17	31	12	15
103896	21	26	58	18	9	36	15	49	35	29	5	29	3	32	42	28	28
103899	21	26	55	18	9	36	15	48	35	27	5	31	3	32	43	32	28
103914	24	30	62	22	16	42	23	51	38	32	5	40	6	35	43	44	41
103923	30	39	61	25	15	50	28	50	39	31	9	44	8	40	47	55	56
103941	37	45	54	29	19	57	34	47	38	30	9	58	10	46	48	65	59
103956	41	53	46	30	21	57	37	40	27	28	9	63	11	51	43	71	61
103958	43	45	46	28	21	57	36	43	26	29	10	52	12	47	43	69	55
103965	43	53	45	32	21	59	37	43	26	29	10	62	11	50	43	76	64
103968	42	52	45	32	22	60	40	42	27	28	10	64	10	53	43	77	69
103991	41	50	44	32	21	61	38	36	25	26	10	62	13	53	46	74	67
103998	40	43	31	26	21	56	36	26	25	20	11	62	13	47	39	74	57
104004	37	43	36	26	20	60	38	22	26	18	11	64	13	47	38	69	61
104028	34	42	37	24	17	66	37	23	26	21	14	64	12	42	35	69	58
104037	27	40	36	22	16	55	38	18	22	23	15	59	11	37	29	67	57
104165	51	67	45	28	21	82	46	38	19	25	16	89	20	73	36	74	84
104175	51	68	37	23	22	75	42	31	16	21	14	97	18	75	27	70	89
104180	52	69	31	23	22	75	45	30	16	16	15	97	19	76	24	70	90
104181	52	68	31	23	22	77	45	30	15	17	15	95	19	73	27	70	89
104199	48	59	29	20	18	65	40	26	13	13	13	88	15	65	14	64	87
104343	5	8	6	2	2	11	4	10	2	2	19	6	3	7	6	7	7
104368	5	7	13	2	2	12	6	13	7	5	18	12	2	11	11	11	7
104377	6	6	14	5	2	10	7	12	8	5	19	13	3	9	11	10	8
104385	6	3	14	5	2	10	6	14	8	5	19	14	3	8	11	10	8
104388	6	5	14	5	3	9	7	13	7	5	19	14	3	9	11	11	8
104409	6	5	13	5	3	10	7	15	8	5	18	16	3	9	10	10	10
104415	6	5	14	4	3	10	8	14	8	5	17	17	3	9	11	11	10
104427	6	6	14	4	3	10	8	15	8	5	15	16	4	9	11	11	10
104445	6	5	13	4	4	12	8	14	8	5	16	17	3	11	10	10	10
104469	5	5	14	7	3	10	9	15	8	5	16	17	4	12	11	9	10
104721	18	31	3	15	6	32	22	2	6	1	18	28	13	29	5	36	41
104727	17	31	4	15	8	30	22	4	6	3	20	31	17	31	10	33	40
104733	17	31	7	15	8	34	22	4	8	3	22	30	16	32	9	39	42
104739	19	33	8	16	8	32	23	4	8	3	19	35	17	39	9	37	46
104742	19	33	9	16	8	28	25	4	7	3	18	33	17	37	9	40	45
104750	15	30	10	15	11	30	24	4	8	7	19	32	16	38	12	41	45
104754	15	31	11	16	11	33	25	6	9	7	18	35	16	42	13	41	50
104853	8	13	59	7	8	20	13	46	43	45	20	19	9	33	58	18	29
104910	1	4	70	1	3	8	4	76	52	68	20	4	1	14	72	6	6
105426	7	16	23	11	3	12	6	27	21	17	18	18	2	8	9	14	17
105566	41	35	79	21	13	47	26	91	80	71	10	56	12	44	74	56	54
105686	14	15	81	11	6	10	11	94	65	60	19	14	3	12	91	8	18
105694	6	6	82	6	4	5	3	75	74	52	21	4	2	4	80	2	10
105695	4	6	90	6	4	4	3	83	77	61	24	4	2	4	87	2	9
105698	4	6	88	2	2	4	3	88	73	50	23	3	1	4	86	2	6
105708	1	4	93	3	4	4	2	83	81	56	23	3	2	4	99	4	6
