site_id	ASM_52	ASM_2	ASM_50	ASM_44
6801	34	22	15	24
6830	34	23	15	24
6913	34	20	22	26
6915	34	20	21	31
6918	36	20	27	34
6932	28	13	24	29
6975	22	19	25	37
6976	25	20	26	37
6977	24	19	24	37
7007	25	24	20	29
7049	28	34	27	35
7059	23	38	27	31
7060	24	36	22	29
7064	25	38	23	29
7109	23	44	28	30
7187	21	48	23	33
7261	22	40	23	31
7265	25	38	24	32
7266	23	38	23	28
7486	30	23	18	22
7786	35	27	26	43
8011	37	34	27	32
8373	31	35	28	61
8488	28	17	15	61
8535	32	18	16	60
8593	26	17	18	55
8626	34	19	19	45
8678	28	21	11	39
8685	29	23	14	32
8731	23	27	18	30
8772	19	35	26	32
8972	18	34	25	23
8995	17	27	28	23
8996	18	28	24	23
9093	17	28	35	50
9445	28	35	24	33
9446	29	35	25	33
9616	39	42	44	47
9617	39	42	43	46
9618	40	41	44	46
9657	37	45	42	44
9701	34	47	44	41
10146	27	31	29	46
10194	31	22	24	42
10195	30	22	24	40
10197	29	24	22	40
10256	51	43	36	39
10257	50	42	32	37
10260	57	43	36	35
10280	66	44	33	48
10281	66	45	34	51
10301	71	46	30	50
10330	65	55	27	50
10336	69	53	29	49
10344	69	57	29	55
10348	68	51	24	53
10349	69	51	25	54
10409	45	36	15	49
10410	43	36	15	49
10426	38	40	13	43
10427	38	39	14	42
10428	38	40	12	43
10478	31	32	17	47
10481	30	36	19	48
10523	27	30	17	49
10572	21	21	14	38
10670	30	24	11	50
10781	29	32	18	43
10920	30	30	17	37
11051	32	16	14	24
11054	32	17	13	27
11074	28	10	14	24
11093	26	14	14	27
11096	26	14	14	25
11097	25	13	15	24
11098	26	15	15	24
11113	27	19	16	23
11125	27	20	20	24
11217	32	34	28	39
11244	38	33	23	39
11275	38	22	23	34
11380	44	31	21	42
11500	36	26	23	28
11509	31	19	19	27
11511	31	19	21	26
11756	15	23	19	32
11825	23	22	25	28
12000	19	15	22	42
12271	32	38	25	39
12370	26	19	15	38
12448	20	19	16	39
12454	19	20	16	47
12635	25	31	14	44
12640	25	33	17	49
12783	33	36	22	42
12784	31	32	20	40
12785	31	32	22	39
12914	32	31	20	43
12915	32	30	21	42
12996	28	37	24	43
13004	29	45	28	39
13064	29	38	32	48
13065	29	38	31	49
13149	27	31	31	53
13225	27	28	19	51
13226	28	29	19	51
13264	29	35	30	51
13326	51	30	17	50
13348	51	38	16	53
13376	52	37	24	51
13377	55	39	30	54
13457	58	38	25	49
13486	51	39	26	51
13488	47	37	16	47
13489	48	39	21	48
13490	50	38	22	50
13491	47	41	21	50
13505	63	48	19	49
13638	47	38	21	47
13642	44	36	17	45
13682	32	27	23	56
13691	38	33	26	61
13716	34	28	22	64
13803	28	39	23	62
13840	31	35	22	53
13841	28	30	18	50
13952	24	23	18	24
13955	25	23	20	27
14086	33	24	17	35
14154	28	24	9	34
14159	25	24	11	34
14174	24	22	13	35
14178	24	23	10	34
14219	24	19	16	34
14243	24	18	22	37
14284	21	23	18	25
14285	24	23	18	26
14319	20	18	19	27
14320	22	21	25	28
14321	16	19	23	22
14332	20	24	22	25
14350	21	29	20	26
14396	19	29	13	29
14426	21	23	18	32
14427	21	23	19	32
14430	21	22	18	30
14432	21	22	18	29
14471	18	21	20	40
14478	14	18	13	38
14488	17	19	18	40
14500	16	22	15	38
14501	15	22	18	39
14516	18	19	12	33
14525	19	20	14	35
14547	24	21	16	30
14576	27	25	14	34
14578	27	24	14	34
14584	28	23	13	29
14619	32	28	9	27
14637	32	29	8	28
14642	35	24	8	28
14706	22	26	4	35
14721	22	27	8	33
14723	20	27	6	33
14737	22	24	8	33
14758	17	33	9	38
14759	17	30	8	34
14760	16	32	5	34
14766	18	29	7	36
14769	20	28	7	38
14831	19	29	4	45
14895	21	40	10	52
14896	22	40	11	53
14897	23	41	10	53
14898	22	40	9	50
15045	21	31	18	36
15046	19	32	21	37
15048	20	29	19	35
15057	17	27	18	30
15074	21	26	16	26
15103	23	24	13	31
15120	24	23	14	31
15124	25	23	16	31
15197	23	29	13	32
15248	21	37	9	26
15300	17	33	11	25
15335	16	32	18	21
15342	16	33	19	20
15354	20	33	11	21
15362	20	30	12	19
15628	17	23	12	20
15638	10	20	11	15
15825	21	15	13	26
15831	20	15	13	27
15858	22	15	13	27
15920	21	15	16	23
15969	14	15	20	24
15971	17	16	22	23
15991	18	15	25	24
15993	16	14	20	26
16026	26	17	25	36
16034	26	20	26	38
16035	26	21	26	41
16036	26	21	29	40
16038	26	21	27	43
16042	31	24	29	45
16043	32	25	29	47
16094	34	25	34	54
16113	39	26	31	56
16126	44	31	35	60
16185	33	29	37	48
16189	32	27	35	44
16190	27	28	32	45
16226	30	28	38	49
16227	31	28	41	49
16296	26	30	39	60
16376	36	33	31	61
16377	36	33	28	63
16378	34	34	30	67
16633	29	24	19	27
16667	31	24	20	31
16703	28	23	18	31
16704	28	23	18	31
16751	25	19	18	38
16813	24	20	19	47
16814	25	19	18	49
16815	23	20	20	46
16922	43	36	14	53
16924	42	36	12	53
16944	43	35	11	53
16964	43	32	14	51
16965	43	33	14	50
16966	44	33	14	51
17080	48	26	17	43
17169	45	27	31	43
17196	42	36	32	49
17197	38	36	30	47
17199	40	36	30	45
17284	34	29	31	42
17329	32	27	33	42
17345	27	23	24	38
17348	25	23	25	41
17350	26	22	28	42
17351	25	22	21	41
17358	25	21	23	42
17450	29	31	22	40
17453	27	32	21	41
17494	26	31	24	48
17540	29	38	19	46
17640	28	28	18	34
17646	27	25	19	29
17664	25	27	19	23
17700	27	23	19	27
17746	20	23	11	24
17757	19	26	15	23
17758	21	27	18	25
17807	19	27	14	27
17834	19	27	11	26
17859	18	25	12	21
17874	19	25	11	23
17875	20	29	14	26
17876	20	30	14	24
17877	19	29	14	25
17879	18	30	13	23
17896	20	31	18	22
17926	19	35	15	24
17980	14	28	20	24
17981	14	28	22	26
17982	14	29	21	26
18152	18	22	16	36
18155	15	23	16	36
20415	10	9	4	15
20426	11	13	6	22
20427	11	11	6	23
20439	14	20	8	31
20448	17	20	11	32
20484	20	27	12	35
20490	21	25	9	41
20565	17	23	14	29
20567	17	24	17	34
20569	17	24	16	34
20573	17	21	15	34
20574	16	21	16	34
20576	16	20	14	27
20577	16	20	14	27
20631	7	5	5	12
20632	7	5	5	13
20634	7	5	5	12
20635	7	5	5	13
20636	7	5	4	11
20760	7	4	3	10
20761	8	4	3	9
20853	25	23	19	38
20936	33	43	32	36
21060	25	24	25	23
21363	6	6	10	8
21429	15	17	14	21
21493	14	27	15	31
21505	17	29	14	35
21519	17	27	20	36
21525	16	24	17	34
21528	16	22	19	36
21655	17	26	31	32
21656	18	25	32	33
21664	14	24	22	29
21692	7	15	16	18
21814	4	7	5	6
21891	15	28	11	29
22015	26	25	22	37
22016	26	25	23	37
22018	27	24	24	38
22019	27	26	24	37
22022	32	25	26	35
22023	31	30	27	37
22173	40	41	24	50
22175	40	40	31	51
22236	38	43	29	47
22246	46	42	30	51
22389	41	25	31	55
22582	26	55	30	54
22583	30	58	33	56
22946	23	21	14	42
22995	22	26	13	38
22996	23	25	16	37
23053	26	24	23	26
23054	26	25	20	26
23074	26	25	23	28
23503	45	30	25	49
23536	41	26	31	50
23771	21	15	18	41
23772	20	14	15	41
23773	20	15	15	43
23776	19	15	15	43
23782	24	15	18	41
23801	19	13	16	47
23811	18	16	18	44
23889	33	23	25	45
23921	34	24	25	53
24053	40	26	23	47
24145	30	19	24	44
24340	27	34	22	42
24589	31	29	23	46
24593	34	29	25	47
24606	30	31	18	50
24645	27	24	21	45
24768	31	27	19	45
24813	27	22	20	54
25033	47	35	23	42
25040	49	35	24	41
25058	45	37	22	42
25229	33	27	22	45
25277	28	28	20	39
25304	31	31	20	37
25358	24	22	23	31
25396	26	22	23	29
25407	26	20	21	29
25409	26	21	23	29
25410	26	21	22	28
25411	26	21	23	28
25413	26	21	22	30
25439	29	20	21	29
25591	37	28	37	49
25594	36	28	33	50
25595	37	28	33	50
25645	32	28	31	59
25668	28	26	27	45
25730	23	36	31	41
25744	19	32	30	32
25746	20	32	31	29
25933	19	29	36	45
25945	18	31	36	39
25997	23	26	43	51
26038	28	31	39	51
26052	25	31	35	51
26054	27	33	38	55
26067	28	30	38	56
26096	34	29	31	54
26112	30	31	26	53
26200	28	37	23	33
26206	31	34	18	29
26207	29	30	17	28
26208	30	30	20	29
26271	20	42	18	40
26272	20	40	17	39
26273	20	40	21	41
26413	23	38	25	36
26414	25	39	27	35
26422	27	38	27	41
26423	27	45	21	43
26424	28	44	24	43
26520	31	39	20	43
26561	26	32	23	49
26563	24	34	22	51
26564	24	35	23	51
26565	24	35	23	52
26566	23	33	22	50
26580	24	26	24	46
26581	23	26	25	46
26582	22	26	23	45
26650	20	10	22	45
26689	28	16	31	58
26690	28	17	33	58
26691	27	17	30	57
26692	27	16	31	57
26730	25	13	26	49
26732	26	13	25	51
26762	21	13	19	45
26826	23	16	20	41
26828	22	17	24	40
26829	26	17	24	40
26832	23	16	18	38
26837	25	16	22	30
26838	24	16	23	31
26840	23	15	21	31
26864	22	18	20	29
26867	22	18	17	29
26869	23	20	21	31
26881	18	20	14	34
26883	17	22	14	32
26898	17	23	17	35
26935	23	29	13	31
26936	24	26	16	33
26937	24	28	13	28
26938	24	27	16	29
26939	24	28	15	31
26983	31	38	12	43
27008	33	37	11	47
27011	34	34	11	45
27012	34	35	13	44
27013	34	34	13	47
27014	34	34	13	46
27088	27	23	11	29
27089	25	21	9	27
27090	24	22	12	28
27106	19	13	8	20
27192	5	5	7	18
27266	13	11	13	40
27267	13	12	14	41
27268	12	13	15	40
27269	12	12	14	40
27274	17	16	16	45
27275	17	16	15	45
27367	25	22	24	58
27411	31	27	29	65
27445	38	25	35	65
27516	30	25	33	60
27628	35	26	27	45
27630	32	24	34	44
27667	36	31	37	38
27880	20	26	23	30
27895	14	23	15	22
27931	21	24	16	27
27933	22	23	15	26
27936	25	21	15	26
27943	26	24	16	26
27963	24	25	24	25
27965	24	24	26	24
27967	24	25	23	25
27998	35	42	32	42
27999	37	43	34	43
28021	36	46	39	39
28115	29	38	25	53
28119	32	40	27	58
28132	22	31	21	53
28134	24	35	24	57
28135	22	34	23	56
28142	19	25	21	48
28144	18	25	22	48
28148	19	23	18	47
28149	18	22	21	48
28284	35	27	35	34
28301	35	31	35	32
28470	24	36	25	45
28658	28	34	28	25
28669	33	37	33	34
28743	32	31	29	47
28763	33	32	24	46
28770	40	33	25	49
28787	43	34	25	48
28837	43	41	23	43
28930	38	31	18	31
29076	44	33	27	48
29182	44	26	22	49
29196	37	26	19	47
29412	32	27	28	39
29602	30	20	26	40
29642	32	19	37	30
29792	32	38	22	58
29855	32	27	25	59
29968	39	38	23	38
30136	28	38	22	36
30308	18	32	16	28
30312	22	33	19	26
30321	20	32	18	27
30337	24	31	19	35
30348	23	25	17	35
30399	21	26	22	29
30411	21	25	23	28
30561	37	19	19	37
30787	33	25	24	34
30878	27	32	29	35
30973	30	19	15	34
30974	29	20	14	33
30975	26	19	13	35
31015	31	22	12	31
31092	19	17	13	26
31100	18	19	15	30
31155	17	21	16	24
31166	19	24	16	22
31167	22	24	17	22
31179	20	27	16	17
31200	23	26	17	27
31206	25	26	17	26
31207	25	26	17	24
31208	24	26	16	29
31209	25	24	14	29
31210	24	25	17	29
31211	23	25	16	29
31215	31	27	17	28
31230	39	26	15	28
31232	38	26	14	29
31288	41	22	10	28
31295	34	19	8	27
31340	45	18	9	27
31342	45	17	8	25
31343	46	16	9	22
31347	45	21	6	19
31358	42	23	12	21
31360	46	25	10	20
31361	46	25	11	20
31363	40	22	12	19
31364	38	20	10	18
31378	35	22	14	20
31382	37	23	14	20
31383	34	23	14	19
31384	36	22	16	22
31393	32	25	15	25
31394	31	24	16	25
31396	33	24	16	26
31398	32	24	16	25
31473	37	25	23	39
31626	39	28	28	34
31627	39	27	23	32
31734	41	36	26	33
31773	50	51	33	36
31774	48	54	24	31
31778	48	51	33	32
31924	28	31	17	50
31925	28	33	17	51
31927	28	36	22	50
31929	28	31	22	52
31976	36	37	29	40
32066	40	39	28	37
32169	45	40	28	43
32197	31	29	26	42
32261	38	24	23	46
32297	40	26	16	40
32448	45	26	27	39
32454	47	26	24	36
32473	45	21	19	29
32484	57	29	22	36
32492	51	30	21	35
32616	37	32	24	41
32897	35	40	26	56
32942	28	33	27	54
33014	39	32	29	48
33088	30	26	36	50
33142	19	24	29	45
33161	21	20	29	42
33238	15	23	25	29
33239	15	24	28	30
33240	14	21	27	29
33244	14	21	25	30
33326	16	19	23	38
33338	19	29	27	55
33361	15	15	17	47
33468	29	24	18	49
33572	36	31	20	45
33617	22	25	16	37
33619	22	24	14	37
33629	14	19	12	27
33661	10	13	11	14
33671	10	12	8	14
33695	8	10	3	9
33701	5	9	5	9
33945	6	3	1	3
33947	9	4	2	3
34007	26	15	14	25
34009	26	16	15	26
34011	26	18	17	25
34012	27	18	16	26
34043	30	21	16	29
34057	31	23	23	31
34161	22	32	16	15
34163	24	34	17	14
34165	23	38	19	16
34180	21	40	17	27
34263	22	32	18	32
34264	22	33	17	33
34325	22	26	15	48
34332	22	25	13	40
34391	19	20	14	26
34410	16	18	9	26
34413	16	16	9	26
34414	16	16	10	25
34416	15	15	10	24
34623	16	9	11	21
34858	25	22	28	23
34910	30	23	18	24
34923	30	21	17	24
34940	21	17	17	21
34998	28	19	18	20
35002	28	20	21	20
35135	14	12	8	13
35165	12	10	7	11
35267	8	1	4	6
35272	10	2	4	9
35377	25	19	17	20
35464	10	9	6	5
35733	21	23	17	28
35750	20	23	19	29
35826	17	15	14	16
35848	18	12	13	17
35908	16	11	10	16
35922	19	12	10	17
35983	13	16	14	22
36067	22	30	25	28
36081	18	28	22	29
36168	32	29	20	34
36271	52	21	34	34
36321	43	18	27	30
36379	42	24	34	36
36465	38	28	33	41
36471	39	23	31	43
36694	52	45	26	52
36695	53	42	24	51
36698	55	42	25	50
36710	50	43	25	50
36760	51	29	31	44
36761	51	27	29	44
36762	51	27	32	43
36844	37	28	42	35
36845	36	29	41	39
36846	36	28	42	38
36848	36	29	44	39
36850	35	29	43	36
37033	33	21	28	40
37035	33	23	26	41
37054	37	24	24	52
37169	26	30	39	44
37181	28	31	39	46
37183	29	32	38	48
37270	26	26	30	38
37272	23	26	24	36
37547	37	24	17	41
37679	36	30	25	34
37723	27	27	19	27
37752	23	26	16	30
37804	29	33	25	34
37805	26	31	25	32
37952	31	43	16	26
37955	32	44	16	25
37956	35	44	16	26
37957	35	44	16	26
37987	35	44	15	24
38008	37	49	20	24
38154	40	47	28	37
38157	39	47	25	38
38250	27	52	27	38
38251	27	52	31	41
38252	27	51	30	42
38358	33	36	15	33
38397	33	29	11	25
38399	32	29	11	25
38435	18	12	6	17
38436	17	12	6	17
38438	17	12	6	16
38448	17	6	3	11
38618	27	24	13	27
38922	32	25	22	32
38927	40	30	30	33
38982	31	26	30	35
39072	16	17	19	18
39078	13	15	18	19
39079	14	16	17	16
48934	1	2	5	5
48937	1	2	6	5
48939	1	3	5	5
48940	2	3	7	5
48951	4	4	8	7
48976	9	7	11	11
48979	13	8	12	11
48980	12	8	12	11
48984	14	8	11	12
48991	14	9	13	12
49002	16	10	9	12
49042	23	11	14	15
49086	25	20	11	16
49107	27	28	16	23
49245	33	36	12	16
49254	37	35	13	23
49256	35	35	12	23
49262	40	36	18	27
49373	29	33	28	33
49403	30	30	22	37
49405	30	28	21	36
49406	29	28	22	36
49407	29	29	24	36
49424	33	25	21	33
49564	44	26	32	38
49643	25	33	34	41
49644	27	34	34	40
49645	25	32	32	40
49646	24	31	28	40
49729	31	26	30	37
49795	41	25	26	35
49797	39	26	27	28
49912	33	32	28	34
50036	23	29	22	26
50150	27	38	18	28
50179	33	52	24	37
50232	35	53	29	38
50283	36	52	19	44
50284	39	53	23	43
50285	39	52	16	43
50321	35	41	17	43
50397	23	28	17	32
50398	21	25	17	32
50401	21	27	17	32
50432	13	20	10	23
50458	14	13	12	15
50465	16	11	10	14
50477	11	10	8	10
50496	8	9	5	9
50578	8	4	5	4
50579	8	5	5	4
50580	8	5	6	4
50584	8	6	7	5
50585	9	6	7	5
50729	14	8	10	9
50730	14	8	10	9
50734	14	6	7	10
50735	14	8	7	11
50762	12	12	6	10
50785	19	25	11	18
50788	22	27	12	19
50790	20	26	10	22
50830	24	32	17	24
50831	24	29	17	24
50888	29	27	16	26
50933	29	18	15	30
50935	29	14	13	28
50951	26	9	11	25
50979	29	9	8	27
50987	30	9	8	26
50988	33	9	7	25
50991	35	12	8	27
51020	39	12	8	26
51044	32	12	6	24
51053	32	13	10	24
51054	28	13	10	23
51055	33	13	9	22
51056	32	13	10	24
51057	32	13	16	26
51079	31	14	14	20
51091	30	14	14	19
51092	30	14	15	19
51098	28	14	13	20
51135	32	19	15	26
51156	27	14	15	30
51159	25	15	15	34
51177	26	14	18	36
51186	24	12	16	35
51285	21	11	16	41
51294	24	13	14	41
51307	28	13	15	38
51308	29	13	16	36
51590	35	42	36	39
51721	33	14	25	28
51751	29	10	27	32
51754	28	9	30	33
51756	25	9	25	31
51818	21	11	20	28
51856	19	19	22	31
51878	14	19	20	29
51880	14	17	18	26
51906	17	17	15	25
52086	20	19	14	45
52087	24	21	17	46
52088	17	15	13	43
52130	19	16	15	43
52133	19	16	18	44
52240	23	30	17	28
52256	21	32	17	30
52356	33	30	28	25
52380	29	26	39	26
52389	27	26	36	25
52493	19	22	25	28
52499	17	23	23	28
52505	18	21	28	30
52507	18	22	30	30
52527	21	22	28	29
52681	14	18	11	13
52777	19	20	15	28
52778	19	20	15	26
52793	24	24	22	28
52835	29	25	25	40
52984	30	36	20	69
53045	42	42	28	88
53046	41	39	24	88
53181	33	39	33	52
53191	36	47	41	50
53377	40	33	32	52
53432	29	26	19	51
53487	15	13	16	45
53490	13	13	15	48
53491	15	13	17	49
53493	14	14	17	51
53640	20	39	19	54
53837	37	32	27	39
54165	41	42	18	44
54174	41	44	19	43
54178	43	46	19	39
54179	43	44	20	41
54180	42	44	18	40
54237	33	43	24	34
54239	31	46	22	29
54328	32	49	31	43
54335	32	47	32	39
54389	31	35	22	46
54434	31	30	18	49
54476	27	20	10	42
54496	22	24	11	39
54530	24	21	11	33
54553	30	31	15	36
54577	30	31	12	27
54601	26	36	11	26
54647	21	35	12	26
54650	22	29	13	27
54654	24	35	11	28
54657	23	36	13	28
54659	22	35	10	25
54719	23	29	11	30
54726	22	25	13	34
54745	27	29	14	28
54748	25	26	10	28
54809	43	31	18	37
54864	40	34	20	32
54876	40	36	21	35
55024	28	27	20	37
55025	27	28	18	40
55106	33	39	27	39
55110	34	43	23	37
55165	30	41	33	28
55195	29	43	22	27
55219	21	38	21	27
55220	22	38	22	27
55222	22	38	23	27
55223	22	40	23	27
55366	16	26	19	28
55369	17	28	20	28
55370	17	27	21	28
55373	16	26	20	32
55389	12	21	19	30
55390	12	21	21	30
55392	14	21	20	30
55393	15	21	27	29
55396	14	21	26	30
55398	14	21	26	30
55399	14	21	26	29
55401	17	22	28	30
55438	14	19	29	38
55453	15	18	29	33
56009	27	25	22	22
56019	31	26	23	26
56042	28	25	22	25
56090	30	20	15	33
56109	41	23	21	49
56111	43	23	24	52
56112	42	22	22	53
56113	42	22	23	52
56115	39	21	18	49
56211	30	34	18	69
56214	32	31	15	70
56259	24	41	23	60
56368	35	35	21	66
56429	41	36	35	70
56530	32	45	31	51
56665	16	21	23	29
56666	15	22	28	30
56670	15	20	23	34
56674	14	19	20	31
56679	11	16	15	23
56705	18	16	23	30
56713	18	25	22	34
56714	18	24	21	34
56721	18	25	18	32
56722	19	23	17	32
56723	17	23	19	31
56726	13	20	13	31
56727	13	22	13	32
56728	15	24	14	35
56920	39	30	23	54
56922	38	30	21	55
56973	45	30	22	60
56996	48	24	21	61
57000	43	25	20	63
57022	43	30	19	65
57061	44	24	28	52
57279	22	31	20	25
57282	23	33	21	23
57298	22	30	21	27
57349	25	17	16	22
57358	23	21	17	23
57365	21	24	18	24
57385	23	23	18	22
57386	22	23	15	20
57387	25	26	18	22
57391	26	30	19	24
57392	25	30	19	23
57401	25	26	19	21
57402	26	30	18	22
57428	21	32	12	20
57452	20	34	15	22
57497	29	41	22	30
57944	28	39	29	34
57981	27	33	24	29
57988	28	34	23	28
57989	27	33	23	29
57990	28	35	22	28
58024	23	34	26	28
58049	27	25	22	23
58098	33	38	23	25
58152	29	32	15	19
58164	30	30	15	20
58192	26	24	15	18
58193	25	24	13	17
58202	26	24	18	22
58203	25	21	19	20
58205	26	16	18	21
58207	26	16	19	20
58208	23	13	19	20
58220	25	13	21	22
58227	26	14	19	23
58228	25	14	20	22
58230	26	14	21	21
58241	29	18	21	27
58270	23	16	20	27
58280	25	15	21	26
58289	25	13	17	26
58293	29	14	21	28
58315	26	14	26	27
58343	38	26	30	31
58417	50	27	31	31
58418	48	26	26	31
58419	49	24	29	30
58437	54	32	37	38
58529	48	28	33	33
58543	49	31	34	35
58566	41	26	30	32
58568	38	26	30	33
58576	37	23	28	30
58579	40	32	35	35
58588	34	29	26	30
58682	31	32	20	32
58707	33	36	20	35
58729	35	30	13	39
58730	32	26	13	38
58733	36	28	15	38
58734	35	30	16	39
58823	27	33	19	44
58944	34	29	19	36
58974	31	29	24	44
59060	31	38	39	57
59316	34	24	11	31
59354	35	22	13	28
59416	30	20	14	31
59461	20	20	14	34
59462	20	19	16	33
59499	27	25	12	37
59500	26	26	17	37
59502	27	26	17	36
59535	22	26	15	32
59556	20	26	16	33
59608	34	44	17	39
59609	33	43	17	38
59619	30	45	13	46
59750	25	38	21	39
59751	24	38	23	40
59752	24	37	22	41
59885	16	35	25	41
59895	15	34	25	44
59929	25	41	28	52
59977	35	43	30	57
59985	33	42	31	57
60030	34	48	34	63
60031	32	49	31	62
60034	33	48	31	62
60036	37	45	30	66
60078	24	40	28	47
60090	25	44	25	53
60091	29	48	28	52
60092	27	48	31	54
60112	23	49	35	52
60114	23	50	35	50
60127	20	49	29	52
60128	23	50	34	53
60133	21	50	30	52
60135	22	49	33	54
60180	30	34	23	42
60181	30	33	25	44
60182	28	32	22	42
60183	31	35	24	44
60186	27	35	24	40
60240	31	25	23	40
60241	29	21	21	39
60242	30	21	21	37
60260	35	23	22	37
60263	36	23	21	38
60393	29	21	15	31
60394	26	21	16	30
60395	33	21	14	32
60406	31	22	15	32
60430	24	21	14	33
60482	14	14	3	24
60485	11	14	4	16
60497	9	13	1	11
60498	9	14	1	11
60500	9	14	1	11
60504	9	14	1	12
60505	8	14	1	12
60670	13	9	12	17
60742	23	22	24	28
60864	31	23	16	32
60897	28	28	17	43
61077	22	39	36	31
61120	23	37	31	43
61130	26	35	29	45
61226	31	34	19	54
61257	27	33	17	52
61339	31	27	20	33
61529	28	41	18	32
61564	27	43	21	36
61692	21	38	24	38
61855	32	42	33	46
62014	20	15	17	35
62050	16	24	11	30
62071	17	30	18	30
62105	15	29	16	26
62119	17	30	15	32
62133	18	34	12	30
62138	19	36	15	33
62139	18	38	13	34
62235	18	27	13	26
62240	24	32	13	27
62249	22	30	17	26
62250	20	29	17	27
62289	24	27	23	28
62290	23	27	21	27
62297	22	23	22	27
62316	20	30	24	26
62320	19	29	26	26
62355	22	24	27	27
62596	21	41	22	40
62602	22	39	22	36
62633	27	46	19	42
62634	27	47	18	42
62784	21	28	22	47
62794	22	28	25	47
62828	30	38	30	46
63165	16	27	21	64
63220	32	33	27	62
63255	33	35	30	39
63518	59	55	27	42
63582	42	47	29	41
63584	41	45	30	42
63587	43	46	28	42
63631	37	38	26	48
63661	34	25	23	48
63734	28	28	26	51
63735	27	28	25	51
63805	20	21	23	35
63972	23	31	38	69
64011	30	38	26	62
64015	32	37	26	64
64036	37	38	21	81
64063	35	35	27	73
64079	44	41	36	77
64162	52	29	38	75
64359	47	35	28	65
64413	50	36	29	58
64414	50	36	29	57
64415	50	37	31	57
64480	43	51	28	51
64481	41	50	25	51
64482	42	51	28	51
64501	41	55	27	52
64503	43	57	28	54
64504	43	56	30	56
64505	43	57	30	57
64506	42	56	30	56
64508	41	56	22	52
64524	43	57	23	50
64561	34	47	28	43
64628	28	36	33	39
64631	27	34	36	44
64809	28	49	32	46
64830	37	37	32	54
64832	34	34	34	52
64834	34	33	29	50
64868	50	26	33	56
64870	50	22	31	50
64967	41	37	30	48
64979	37	37	25	46
64981	40	44	24	47
64993	30	55	31	58
64999	31	50	24	53
65145	36	39	20	42
65148	39	40	21	47
65149	42	40	21	50
65151	42	35	19	46
65163	37	32	19	45
65276	29	25	32	52
65286	22	21	21	36
