site_id	Mock_3	Mock_6	Mock_1	Mock_5
9515	5	8	9	12
9516	5	8	9	12
9526	5	8	8	14
9587	10	10	12	12
9589	10	9	12	12
9661	9	9	11	13
9662	9	9	11	13
9664	9	9	9	13
9666	9	9	9	13
9667	8	9	9	12
9678	9	8	10	9
9750	6	11	7	11
9761	7	13	7	11
10221	12	15	4	10
10229	11	16	4	12
10246	11	11	4	10
10282	11	12	7	12
10313	13	16	9	11
10411	8	17	11	7
10413	8	17	13	7
10469	7	18	11	15
10485	7	13	11	16
10486	7	12	10	17
10503	7	12	10	16
10516	8	9	8	17
10517	8	9	8	16
10518	8	9	8	17
10529	8	10	6	15
10596	10	10	12	16
10634	9	13	13	9
10653	7	17	13	11
10664	6	18	13	12
10665	6	18	14	12
10666	6	18	14	12
10668	7	18	14	12
10682	9	16	14	10
10734	9	16	11	9
10790	11	10	8	16
10860	13	8	9	21
10940	16	16	12	12
11046	10	14	12	11
11169	11	11	13	13
11170	11	11	15	12
11171	11	11	15	13
11173	12	11	14	13
11182	11	10	11	12
11358	15	17	7	14
11360	15	16	7	14
11402	13	18	12	17
11405	13	18	13	19
11784	10	15	6	15
11795	12	16	5	12
11806	15	16	8	14
11819	12	10	6	14
11875	10	8	7	18
11891	9	8	6	14
12093	9	10	5	16
12094	9	10	5	16
12284	7	6	9	9
12295	8	7	9	9
12349	8	9	10	8
12352	10	8	10	8
12481	4	11	4	9
12653	2	11	2	10
12809	14	18	12	13
12878	15	16	10	14
12885	13	13	10	16
12959	10	15	3	19
12984	12	10	2	20
12998	15	11	3	20
12999	15	11	3	20
13113	17	7	10	19
13133	16	9	12	18
13147	13	10	12	18
13148	14	10	12	18
13172	15	12	10	17
13174	15	12	10	17
13290	12	6	3	12
13314	16	4	3	13
13330	13	7	3	13
13394	16	13	4	9
13395	17	13	4	9
13443	16	15	4	10
13528	9	17	9	11
13532	11	16	13	12
13534	12	16	13	10
13545	8	15	14	13
13546	8	15	15	13
13619	8	14	16	20
13622	7	14	16	20
13628	5	15	17	21
13675	5	12	13	21
13680	4	14	13	21
13684	3	12	8	20
13700	5	13	7	18
13716	5	12	9	13
13717	5	11	8	13
13720	5	10	7	14
13722	5	10	7	16
13724	5	13	10	16
13745	6	10	12	16
13746	6	11	11	16
13748	6	10	11	15
13753	6	11	14	16
13793	10	7	14	13
13866	6	4	9	7
13869	6	4	8	7
13896	4	2	4	2
13897	4	2	4	2
13899	4	2	4	2
14235	4	6	7	1
14315	7	13	11	6
14318	7	11	11	6
14408	7	7	12	5
14432	7	5	11	4
14455	6	6	10	4
14463	7	8	10	4
14466	5	6	11	4
14467	6	6	10	4
14504	6	6	9	6
14605	6	3	3	11
14618	5	2	3	9
14873	8	13	13	18
14937	8	13	14	16
14975	9	13	16	16
14989	11	13	14	17
14990	10	13	16	18
15037	11	11	12	20
15067	17	12	12	21
15207	11	6	10	17
15211	11	6	10	15
15212	10	6	10	17
15214	10	6	10	16
15217	10	6	9	14
15218	9	6	7	14
15219	10	5	9	15
15241	7	4	8	12
15267	4	3	5	5
15268	4	4	5	4
15844	7	13	15	13
15854	7	13	10	13
16097	6	9	16	13
16356	11	13	16	14
16456	13	12	17	12
16606	12	8	11	16
16608	12	10	9	16
16805	11	9	11	20
16822	17	9	14	21
17205	15	15	16	11
17256	17	11	7	14
17292	16	13	7	12
17293	16	13	7	13
17542	11	15	9	17
17543	12	14	9	17
17545	13	13	9	15
17546	14	14	8	17
17552	14	16	9	17
17563	14	17	9	20
17570	15	17	9	17
17578	15	16	8	14
17614	11	16	3	10
17637	9	18	2	10
17638	9	14	2	12
17693	7	14	3	12
17696	5	13	4	12
17699	5	12	4	9
17702	5	11	4	11
17890	14	6	7	2
18029	6	8	10	6
18033	7	8	10	6
18076	9	10	12	11
18086	9	9	12	12
18331	13	9	17	10
18334	13	10	17	10
18337	13	10	17	10
18338	13	10	17	10
18352	12	13	15	9
18471	14	9	9	12
18472	13	9	9	15
18493	13	9	9	16
18501	14	10	9	15
18503	13	10	8	14
18522	14	6	7	14
18523	14	7	6	13
18603	12	9	12	12
18642	9	11	9	11
18998	12	18	10	21
19320	16	17	11	14
19344	16	17	10	14
19375	14	17	10	16
19478	6	17	9	17
19543	13	16	13	14
19551	15	16	15	14
19552	13	15	13	14
19564	14	11	12	12
19600	14	8	9	13
19615	13	10	9	12
19622	14	9	9	14
19623	14	10	10	13
19639	13	6	8	19
19640	13	7	9	20
19716	6	9	12	15
19719	6	10	13	18
19816	6	12	14	11
19817	6	13	14	11
19823	6	14	14	10
19825	6	14	14	9
19869	11	14	10	10
19892	15	15	11	8
19906	17	18	9	8
20120	15	6	8	12
20126	14	6	8	17
20319	17	9	16	13
20332	17	9	16	17
20341	15	9	15	18
20342	15	8	17	18
20452	16	6	11	14
20453	16	6	12	15
20478	13	6	12	15
20479	13	6	13	15
20480	14	5	13	15
20486	14	6	14	11
20489	14	6	15	11
20495	14	6	14	13
20531	14	8	13	14
20541	12	9	13	13
20544	12	9	13	15
20618	16	10	10	12
20630	17	10	7	12
20719	13	12	17	20
20746	9	10	16	16
21046	16	7	13	12
21049	16	8	13	13
21053	16	8	12	13
21061	15	8	12	10
21070	14	10	11	11
21073	14	8	11	11
21075	14	8	11	11
21207	17	8	7	12
21213	16	5	8	13
21280	11	5	12	8
21332	16	7	12	9
21334	16	7	13	10
21343	14	5	10	11
21408	12	7	12	10
21428	11	6	13	13
21442	12	5	12	12
21448	11	5	12	10
21450	14	5	12	11
21479	12	4	12	14
21481	12	4	12	14
21483	13	4	12	12
21524	12	3	10	10
21537	9	3	10	12
21545	11	3	10	16
21745	8	11	13	15
21747	8	11	14	15
21748	8	11	13	15
21793	7	14	11	9
21809	10	14	10	9
21810	10	14	10	9
21811	10	15	10	9
21841	12	18	12	10
21866	13	14	12	12
21893	10	11	9	10
21897	11	12	10	10
21976	10	13	11	9
21982	10	11	10	9
21985	10	11	11	9
21987	10	10	11	10
21988	11	11	10	10
21989	11	12	10	9
21991	10	13	10	7
21993	10	13	10	9
21994	11	14	10	9
22003	12	13	9	9
22077	13	17	11	9
22118	13	18	16	13
22121	12	18	14	13
22123	12	18	14	16
22295	11	16	13	16
22299	11	17	13	15
22310	11	16	11	17
22312	11	17	12	21
22314	10	17	12	21
22315	9	16	11	19
22318	9	17	9	18
22326	9	16	11	18
22347	9	12	10	15
22353	8	12	10	18
22367	8	13	7	15
22382	7	12	7	17
22398	10	12	9	18
22399	10	13	9	18
22401	9	13	9	18
22418	6	13	5	17
22479	8	18	8	11
22566	8	14	9	11
22773	13	9	8	18
22784	13	9	9	21
22808	11	9	8	21
22816	13	9	9	21
22819	14	9	9	21
22823	15	9	9	21
23207	16	13	8	10
23615	17	17	8	8
23621	16	17	8	9
23622	17	17	8	10
23624	14	18	8	10
23704	11	14	10	17
23734	12	18	8	18
23735	12	18	9	18
23753	13	17	8	21
23771	11	18	13	21
23801	5	16	10	18
23803	5	15	9	18
23806	3	15	10	17
23807	4	15	9	16
23849	9	13	11	19
23884	8	12	14	16
23885	8	13	15	16
23888	7	14	14	15
23926	6	8	11	10
23927	6	8	12	10
23932	7	11	11	11
23936	8	11	11	11
23949	8	11	11	10
23981	7	10	10	9
24021	10	10	12	13
24099	10	11	8	12
24105	10	10	8	13
24127	9	11	8	15
24151	9	15	8	17
24215	10	14	10	19
24225	10	16	10	17
24287	12	16	11	15
24351	12	18	9	17
24357	11	17	8	17
24597	10	12	17	10
24598	10	12	17	9
24658	7	9	11	10
24659	7	9	11	10
24722	10	18	14	10
24833	9	17	16	7
24873	9	11	13	9
24950	9	8	11	6
24951	9	8	11	7
25041	7	14	11	6
25053	9	16	10	9
25054	9	16	10	9
25072	12	15	11	13
25107	16	14	15	15
25108	16	14	15	16
25109	17	14	15	16
25222	11	7	17	15
25223	11	7	17	14
25280	8	8	14	21
25281	8	9	15	21
25282	8	9	15	20
25458	8	15	14	13
25461	8	15	15	14
25482	5	16	14	12
25483	4	16	13	12
25496	11	11	15	12
25497	10	11	15	12
25500	12	12	16	11
25533	12	10	17	9
25609	14	9	15	10
25622	14	9	12	10
25625	14	9	12	10
25631	17	12	12	13
25632	17	11	12	12
25635	16	11	12	11
25642	13	9	10	9
25738	11	11	5	13
25954	14	13	13	8
25981	15	13	13	7
25982	15	13	13	8
25984	15	13	13	8
26133	13	14	17	19
26134	13	13	17	18
26153	13	14	12	17
26184	5	10	10	18
26185	5	10	10	16
26190	6	9	10	18
26191	6	6	9	17
26203	8	7	8	20
26290	14	10	8	17
26302	12	9	10	14
26304	12	10	9	14
26305	12	10	10	13
26307	14	14	10	14
26308	15	15	10	16
26329	12	14	8	17
26330	12	14	9	16
26334	12	14	8	13
26336	12	14	9	14
26338	12	14	7	13
26351	9	15	9	9
26352	9	15	10	12
26405	5	16	9	9
26406	5	16	9	10
26455	11	16	11	12
26458	9	12	10	8
26501	9	17	9	7
26502	9	17	10	8
26503	7	18	10	8
26555	10	17	8	8
26776	8	7	10	20
26783	8	7	10	19
26862	6	10	15	21
26917	7	14	16	19
27089	15	11	17	19
27107	14	10	15	19
27110	14	10	15	20
27111	14	10	15	20
27140	15	11	15	18
27183	11	9	13	15
27186	12	9	13	15
27187	12	9	13	15
27188	12	9	13	14
27191	14	9	13	18
27193	13	9	13	18
27222	16	9	7	19
27256	16	8	8	17
27257	17	8	8	18
27258	17	8	8	18
27260	16	8	8	18
27320	17	8	8	17
27364	13	11	11	12
27365	14	11	10	14
27369	14	13	10	10
27386	13	15	10	10
27389	13	15	10	8
27392	13	15	9	9
27393	13	14	9	8
27394	13	14	10	9
27395	12	13	7	8
27447	14	11	15	14
27599	17	7	13	10
27808	6	7	11	6
27810	6	8	10	6
27897	6	9	8	7
27898	6	8	8	7
27935	8	10	6	8
27940	8	10	6	10
27941	8	10	6	10
27942	8	9	6	10
27944	8	8	6	9
27991	10	9	7	11
27992	11	9	7	11
27993	11	9	7	11
28038	14	11	11	11
28044	16	11	11	11
28080	13	8	10	12
28108	16	11	10	14
28119	16	12	9	16
28211	12	7	14	15
28340	9	6	13	9
28346	9	5	13	11
28352	11	6	15	10
28354	11	7	16	10
28421	16	5	13	6
28441	15	7	16	9
28449	15	7	17	9
28615	14	8	17	14
28674	14	5	13	12
29018	10	14	14	8
29127	17	10	6	12
29137	17	12	7	12
29249	16	13	5	7
29251	15	13	5	7
29366	16	13	10	8
29375	15	11	9	9
29396	13	9	13	9
29419	13	10	12	13
29428	11	9	12	13
29439	9	9	11	16
29528	12	5	10	16
29551	13	3	8	19
29557	13	4	8	20
29655	16	10	15	16
29707	5	12	13	14
29708	5	12	13	14
29787	8	10	6	18
29790	9	9	7	18
29820	9	7	6	16
29884	12	8	6	15
29922	17	8	3	13
29925	17	8	3	13
29927	17	8	3	16
29940	17	9	2	13
29990	17	15	4	16
30071	14	11	5	13
30074	13	11	6	13
30123	14	14	6	8
30383	15	10	11	12
30400	13	9	11	10
30406	14	9	12	11
30407	13	9	13	11
30426	13	6	10	11
30429	11	6	13	13
30430	11	6	14	13
30436	10	6	16	13
30454	7	4	17	16
30486	5	3	15	13
30553	12	10	15	17
30554	11	9	16	16
30555	12	10	15	16
30556	11	9	16	16
30561	11	11	15	15
30578	8	13	17	14
30585	8	14	13	13
30602	8	14	12	13
30603	8	14	11	13
30613	8	15	13	13
30630	9	14	12	17
30632	9	13	14	20
30663	4	11	14	17
30722	5	7	15	18
30813	13	3	15	15
30871	16	4	17	14
30872	15	4	14	14
30921	10	7	15	14
30985	13	9	15	19
31008	12	11	14	21
31009	12	11	14	20
31011	11	11	14	21
31013	11	11	13	18
31017	11	11	12	19
31018	11	11	12	18
31020	10	11	13	20
31030	12	11	10	17
31032	12	11	11	17
31036	11	11	11	17
31066	10	10	9	18
31113	7	9	13	18
31160	8	8	14	15
31162	7	9	17	15
31172	8	8	15	12
31182	8	7	16	18
31183	8	7	15	18
31184	7	7	15	18
31185	8	7	14	19
31190	8	5	16	19
31295	9	9	13	21
31336	10	10	8	19
31354	10	11	8	13
31398	10	5	6	19
31404	8	6	6	18
31410	8	6	6	17
31411	9	6	6	19
31412	9	6	6	18
31416	8	6	4	19
31420	7	6	4	18
31421	8	6	4	18
31422	9	6	4	19
31423	10	6	4	20
31499	10	5	5	13
31513	9	4	8	11
31521	10	4	7	13
31550	11	4	8	11
31552	11	3	10	11
31556	11	4	10	12
31557	11	4	10	12
31560	11	3	9	12
31563	13	3	10	15
31572	10	4	10	14
31573	10	4	10	14
31600	10	2	13	18
31767	15	14	12	19
31826	17	14	8	19
32184	14	15	5	12
32185	14	15	5	12
32197	14	15	4	14
32204	14	14	3	14
32210	16	15	5	15
32225	16	18	8	18
32226	16	18	8	18
32258	14	10	12	17
32287	15	13	12	19
32290	14	13	11	18
32320	16	14	11	17
32325	17	14	14	18
32362	17	14	11	16
32367	17	16	14	17
32369	17	15	13	18
32375	17	15	11	16
32378	16	15	10	14
32379	17	15	10	15
32398	16	15	6	14
32455	16	11	12	13
32479	17	11	14	13
32503	13	9	14	12
32515	16	8	16	11
32516	15	7	14	11
32517	15	7	13	11
32519	15	7	14	9
32542	14	6	14	10
32562	11	5	10	9
32568	11	5	11	10
32570	11	5	11	9
32576	9	5	9	9
32588	11	8	10	11
32738	8	9	6	19
32739	10	9	6	19
32740	10	9	5	19
32743	10	9	5	18
32744	11	11	6	19
32754	6	8	5	19
32787	6	7	4	18
32843	5	12	8	13
32942	10	12	14	10
32943	12	13	14	10
32980	15	13	13	11
33012	17	15	13	14
33117	15	14	16	18
33120	15	13	15	20
33122	15	15	15	20
33123	13	14	14	19
33207	17	15	13	15
33267	13	11	11	18
33268	13	12	12	18
33271	12	12	12	16
33354	10	5	10	16
33356	10	4	11	17
33457	15	3	14	12
33464	16	5	15	12
33469	14	5	17	12
33496	13	6	17	12
33506	12	3	17	13
33516	13	3	17	13
33611	17	7	17	12
33646	15	7	15	14
33829	8	9	14	16
33864	4	9	12	15
33867	3	9	12	15
33880	3	8	13	13
33908	2	8	10	12
33932	1	7	11	14
33947	1	4	9	13
33961	1	6	10	16
33992	1	6	11	15
34175	7	16	11	15
34176	7	16	11	15
34178	7	16	11	16
34180	7	16	10	18
34182	7	16	9	18
34201	9	17	9	21
34209	9	16	10	21
34226	8	16	7	19
34608	11	8	11	17
34611	11	10	11	18
34643	10	10	11	18
34649	11	9	11	21
34667	9	9	11	19
34684	9	8	11	21
34685	10	7	11	21
34690	9	7	11	21
34742	14	9	6	21
34762	13	9	7	21
34763	14	8	7	21
34908	14	2	11	16
34969	13	7	11	18
34989	13	9	10	17
35001	15	11	9	16
35042	14	9	10	13
35064	14	12	8	13
35065	15	11	7	12
35085	10	13	8	14
35086	10	13	8	14
35089	9	12	8	14
35090	9	12	8	14
35091	9	12	8	13
35095	9	12	8	14
35135	8	12	8	13
35151	6	10	9	13
35163	8	12	7	12
35189	9	13	7	12
35205	10	11	7	10
35214	11	9	6	9
35215	10	9	6	9
35268	16	8	2	13
35316	11	7	3	10
35429	12	4	8	1
35438	11	4	7	1
35454	10	6	8	2
35531	2	7	7	10
35532	2	8	7	10
35579	6	10	7	12
35601	6	9	7	12
35612	6	8	10	14
35678	8	5	13	10
35679	8	5	13	10
35682	8	3	13	10
35683	8	3	13	10
35856	11	4	11	9
35877	11	3	11	9
35936	14	6	11	10
35960	12	6	10	9
35991	10	5	11	11
36014	8	7	10	9
36096	8	8	4	9
36115	11	12	6	8
36146	11	11	3	8
36152	11	13	3	10
36153	11	13	3	10
36155	11	14	5	10
36168	11	14	4	12
36178	10	15	5	12
36185	12	15	5	12
36203	13	14	6	12
36279	8	10	10	10
36300	10	10	11	8
36302	11	10	11	8
36325	11	9	9	7
36331	13	10	9	7
36333	13	10	8	7
36376	12	13	7	4
36522	7	15	8	9
36526	7	14	8	9
36564	5	13	9	6
36608	9	14	8	9
36672	8	8	9	10
36675	8	8	8	10
36676	8	8	7	10
36678	9	9	8	10
36811	5	9	5	9
36828	9	9	12	12
36925	14	9	16	15
36951	14	10	16	17
36967	15	11	15	16
36968	14	9	10	16
37071	8	8	1	7
37072	8	8	1	6
37073	7	8	1	7
37074	8	8	1	7
37122	11	7	2	7
37128	9	7	2	6
37189	6	8	4	7
37327	11	6	7	6
37330	11	6	9	7
37332	11	5	9	7
37334	12	6	9	8
37337	15	5	9	9
37358	15	5	13	9
37392	16	8	15	19
37393	15	7	15	18
37394	16	7	14	18
37395	16	7	15	19
37396	16	7	14	19
37480	9	10	12	18
37483	7	10	12	16
37484	6	10	13	16
37486	7	9	12	16
37541	7	10	8	8
37544	7	11	7	8
37581	6	9	7	11
37655	8	11	9	16
37726	9	11	14	10
37734	10	11	15	10
37743	9	11	11	9
37789	11	7	15	16
37871	7	10	10	20
37872	7	9	11	19
37938	5	16	8	20
37939	3	14	10	14
38011	3	9	7	14
38013	3	9	6	13
38014	3	9	7	14
38017	3	10	7	17
38019	3	9	7	16
38020	3	10	7	16
38021	3	10	6	20
38238	7	17	14	19
38240	5	16	11	16
38247	6	16	11	16
38413	7	16	13	15
38423	8	16	14	16
38445	8	14	14	14
38446	8	15	14	13
38449	7	14	13	14
38469	6	12	11	12
38480	6	8	9	11
38496	10	11	9	15
38501	10	14	7	14
38537	12	10	14	14
38538	12	10	14	14
38542	12	9	14	14
38543	12	12	14	14
38545	12	12	13	14
38546	12	13	15	13
38548	12	14	15	14
38590	15	13	17	16
38644	15	16	15	10
38646	15	14	14	10
38648	16	12	15	10
38649	15	12	15	10
38650	16	12	14	10
38675	13	12	13	9
38676	13	12	13	9
38691	13	14	9	11
38747	13	7	10	7
38825	11	7	9	15
38826	12	8	9	16
38908	7	9	7	21
38956	8	8	8	20
38957	8	8	8	21
39035	9	12	17	20
39150	7	9	17	17
39153	8	9	17	15
39154	8	9	16	16
39191	8	9	9	11
39192	8	9	9	11
39196	8	9	9	11
39282	5	9	6	8
39285	5	9	6	7
39287	5	9	6	7
39297	4	13	6	7
39301	3	13	6	6
39310	4	12	6	6
39314	4	13	6	6
39316	4	13	6	6
39346	5	14	5	8
39386	3	17	5	16
39391	3	15	5	17
39435	8	17	6	19
39437	8	17	5	19
39438	8	17	5	18
39455	11	17	6	19
39461	10	18	6	18
39523	11	18	7	19
39525	12	18	8	19
39532	13	18	8	15
39535	13	18	9	14
39593	15	16	8	15
39814	10	9	9	15
39845	7	11	6	11
39861	8	10	9	10
39893	5	10	6	14
39903	4	8	9	14
39916	5	8	9	14
39943	7	7	11	9
39997	4	4	10	10
40081	16	12	7	15
40082	15	12	7	15
40083	16	12	6	15
40119	17	11	5	16
40242	16	10	5	15
40264	16	14	5	14
40265	16	14	5	13
40291	11	12	6	11
40298	11	13	7	9
40349	9	12	7	9
40440	9	3	12	8
40520	9	8	11	10
40539	7	6	7	10
40596	7	7	6	12
40707	10	10	11	14
40714	11	10	12	14
40745	11	11	16	12
40750	11	10	17	12
40895	6	4	12	12
40956	11	8	11	9
41060	9	5	12	8
41079	11	7	16	9
41458	8	3	7	15
41539	10	2	7	13
41579	15	4	8	11
41609	13	4	7	9
41630	12	6	8	7
41695	17	9	6	6
41696	17	9	7	8
41857	17	8	8	19
41875	15	15	9	19
41878	15	15	10	18
41882	16	15	12	18
41883	14	15	12	18
41884	15	15	11	19
41885	15	14	10	19
41886	14	12	10	17
41887	15	12	10	18
41888	15	12	11	18
41889	15	12	11	18
41916	15	9	10	12
41917	15	10	10	12
41938	11	10	10	7
42022	6	9	11	7
42027	6	9	10	6
42050	4	12	5	8
42206	6	5	8	13
42207	7	5	8	13
42208	7	5	8	13
42270	10	12	7	15
42277	9	12	7	15
42356	16	16	15	10
42360	16	14	14	8
42549	17	7	13	8
42614	15	7	11	6
42620	17	6	11	7
42622	17	6	11	7
42635	15	8	11	9
42639	14	8	11	8
42866	8	6	8	10
42867	8	6	8	11
42891	8	9	6	10
42907	7	10	6	10
42958	6	13	9	11
43041	4	9	8	11
43046	4	11	8	11
43047	3	11	8	10
43049	4	10	8	11
43099	9	9	16	14
43107	11	7	14	14
43109	11	8	14	13
43256	15	8	10	17
43306	13	7	10	18
43334	12	6	10	16
43335	12	6	10	16
43337	12	6	10	16
43348	11	6	12	17
43428	8	8	12	18
43433	8	6	11	15
43480	11	5	13	15
43481	11	5	13	15
43484	11	5	13	15
43757	5	3	15	12
43829	3	9	14	12
43906	3	10	10	18
43983	5	11	11	21
44007	4	15	12	19
44134	11	13	13	9
44135	12	13	13	9
44140	13	12	12	6
44141	13	11	11	6
44142	13	14	12	8
44143	14	13	12	8
44171	14	12	7	10
44173	14	13	6	10
44175	15	14	7	10
44177	15	13	7	10
44179	15	13	4	9
44285	16	16	5	18
44288	17	16	5	17
44289	16	18	5	18
44437	4	18	10	16
44506	7	15	13	13
44587	5	12	9	9
44668	10	11	5	15
44706	12	7	3	18
44736	16	10	7	19
44760	17	8	6	16
44768	16	9	7	17
44784	16	9	6	17
44805	16	6	7	15
44846	15	6	8	14
44876	13	8	6	8
44878	12	8	5	8
44897	10	7	5	9
44935	6	6	7	8
45014	9	10	6	9
45028	11	8	6	11
45055	11	8	5	14
45074	11	8	5	15
45167	9	7	2	18
45176	8	8	2	17
45178	7	8	2	17
45257	9	12	4	17
45277	9	12	4	16
45288	9	10	4	16
45325	11	7	7	14
45327	12	7	8	15
45391	9	4	7	8
45504	9	7	3	8
45527	9	9	4	6
45576	6	11	4	5
45586	6	11	3	6
45592	6	11	3	8
45648	6	10	6	10
45649	6	10	5	10
45651	6	9	5	11
45653	6	8	6	11
45665	8	7	6	11
45802	11	7	7	5
45824	10	4	7	8
45867	8	10	5	12
45896	9	9	3	11
45932	6	11	2	11
45992	8	9	1	8
46036	8	10	2	6
46053	7	11	3	9
46153	5	18	5	18
46163	5	18	7	19
46165	6	18	7	19
46198	11	18	7	18
46218	10	17	7	18
46222	10	16	8	18
46233	14	15	8	18
46257	15	12	11	19
46293	12	7	11	18
46404	3	4	2	12
46420	3	6	3	12
46421	3	6	3	12
46423	3	6	3	12
46570	6	6	6	6
46571	6	6	6	6
46651	6	13	8	6
46654	7	14	8	6
46659	8	16	10	6
46660	8	16	10	6
46687	8	18	12	3
46793	3	14	12	6
46795	3	15	12	7
46798	3	15	11	7
46799	3	13	12	7
46807	4	13	9	7
46809	3	13	9	7
46810	3	13	11	7
46865	4	11	6	14
46866	4	12	6	13
46877	4	14	5	14
46970	4	16	9	14
47103	2	12	6	9
47116	2	13	4	6
47124	3	13	5	7
47144	2	14	6	6
47147	3	13	6	6
47149	3	14	6	6
47152	3	15	6	6
47155	3	15	6	6
47156	3	15	6	6
47191	5	15	7	9
47192	5	16	6	11
47195	5	17	6	11
47295	5	14	4	17
47301	5	13	4	17
47324	4	15	6	20
47325	4	14	6	19
47337	7	17	5	19
47362	10	14	6	19
47364	10	14	6	19
47366	10	15	6	19
47367	9	15	6	19
47369	11	14	5	18
47382	11	14	5	18
47464	9	13	6	13
47472	9	11	4	11
47473	9	11	4	13
47568	5	8	10	9
47577	5	13	11	9
47744	10	17	9	11
47751	10	16	10	12
47755	11	17	10	11
47772	11	16	12	14
47795	13	14	16	11
47807	11	12	14	9
47831	11	9	15	10
47845	15	6	11	12
47860	14	6	10	12
47864	14	6	11	13
47872	13	4	9	13
47895	13	3	9	14
47902	12	8	9	18
47903	11	8	9	18
47905	12	6	10	20
47958	10	9	7	16
48173	10	12	9	16
48177	11	12	11	19
48180	11	13	10	19
48182	11	13	11	19
48308	15	11	9	14
48309	14	14	8	14
48316	15	14	8	14
48317	15	13	9	14
48364	9	11	8	12
48370	10	9	8	12
48372	10	9	8	11
48384	10	8	8	12
48405	9	7	7	14
48406	9	7	5	13
48459	5	7	10	12
48460	5	7	10	13
48550	5	8	10	10
48577	7	10	10	10
48610	5	9	8	8
48626	5	11	7	9
48647	8	17	6	6
48649	7	17	6	5
48652	6	15	5	6
48795	8	17	9	12
48797	8	17	9	12
48798	8	16	9	13
48799	8	18	10	14
49118	9	2	12	20
49119	10	2	10	20
49187	8	7	11	18
49188	10	8	11	17
49189	8	8	12	18
49228	6	9	12	15
49335	9	7	2	5
49336	10	6	2	6
49337	10	6	2	8
49485	6	13	7	13
49487	7	14	7	10
49495	6	15	7	8
49500	4	17	7	10
49502	4	16	7	10
49503	4	16	7	10
49504	4	16	6	10
49505	4	17	7	10
49511	5	18	7	11
49528	4	17	6	10
49609	10	18	9	11
49633	9	16	11	13
49634	9	16	9	13
49635	10	16	9	13
49730	10	8	5	18
49769	10	7	5	13
49771	10	7	5	13
49772	10	7	5	13
49880	9	10	5	16
49881	9	11	5	16
49920	10	9	3	17
49921	10	8	3	18
49922	10	9	3	18
49946	13	11	5	21
49970	13	11	5	17
50094	17	11	14	16
50117	15	16	12	19
50130	15	15	12	19
50172	16	17	12	15
50174	17	17	12	17
50175	17	17	12	17
50176	17	17	10	16
50177	17	17	10	16
50203	16	16	11	15
50225	15	16	13	16
50412	15	15	11	14
50413	16	15	10	13
50420	15	17	11	16
50422	15	17	11	15
50439	13	17	10	14
50449	14	16	11	17
50455	13	15	10	17
50456	12	14	10	16
50457	12	15	8	16
50458	11	15	11	16
