site_id	ASM_48	ASM_49
34591	0	0.0325
34595	0	0.0175
34610	0	0.0177
34611	0	0.0175
34613	0	0.0175
34619	0.0286	0
34759	0	0.0235
34760	0	0.023
34761	0	0.0222
34786	0.0222	0
34792	0.0114	0.0109
34935	0.0206	0
34958	0.0215	0
34959	0.0208	0
34963	0.0217	0
34964	0.0217	0
34987	0	0.0286
34996	0.0213	0
34998	0.022	0
35001	0.0211	0
35002	0.0213	0
35009	0.0217	0
35195	0.0247	0.00694
35411	0	0.0175
35442	0	0.0165
35443	0	0.0167
35444	0	0.0167
35445	0	0.0171
35450	0	0.0174
35559	0.0109	0.016
35772	0.0263	0
35773	0.0247	0
35784	0.0222	0
35786	0.0227	0
35788	0.0122	0.0111
35790	0.0119	0.0106
35935	0.0217	0
36018	0	0.0211
36019	0	0.0211
36020	0	0.0215
36027	0	0.0194
36028	0	0.0202
36029	0	0.0198
36079	0	0.0217
36090	0.0133	0.00917
36091	0.0133	0.00935
36177	0	0.0168
36186	0	0.0183
36230	0.0118	0.00943
36307	0	0.0192
36428	0	0.0175
36575	0	0.0165
36576	0	0.0172
36587	0.0125	0.00901
36597	0.0256	0
36747	0.0206	0
36749	0.0213	0
36762	0	0.0215
36771	0.0217	0
36774	0.0208	0
36781	0.0247	0
36783	0.0233	0
36785	0.0235	0
36874	0.0112	0.0187
36876	0	0.0196
36884	0	0.0213
36953	0.0217	0
36958	0	0.0208
37024	0	0.0222
37027	0	0.023
37111	0.0115	0.0122
37112	0.0115	0.0122
37115	0.0114	0.0125
37173	0	0.0213
37174	0	0.0211
37176	0	0.0211
37255	0.0103	0.0099
37282	0	0.019
37338	0.0299	0
37408	0.026	0
37440	0.0115	0.0187
37481	0.0145	0.02
37483	0.0137	0.0196
37484	0.0141	0.0194
37509	0	0.0183
37630	0.00935	0.0149
37633	0.01	0.0157
37777	0.0128	0.00971
37795	0	0.0187
37802	0	0.0175
37810	0	0.0273
37873	0.0233	0
37956	0	0.0225
37962	0	0.0233
38030	0.0123	0.0115
38033	0.0123	0.0122
38129	0.0263	0
38429	0	0.024
38437	0	0.0301
38569	0.0538	0
38570	0.0444	0
38573	0	0.02
38574	0	0.0196
38575	0	0.0206
38576	0	0.0192
38682	0.0196	0.0114
38683	0.0194	0
38695	0.0571	0
38705	0.0198	0
38717	0.0213	0
38718	0.0208	0
38722	0.0312	0.011
38726	0.0337	0
38914	0.0345	0
38932	0	0.0183
38939	0	0.0187
38940	0.0152	0.00952
39007	0	0.0192
39008	0	0.0194
39048	0	0.0241
39126	0	0.0227
39332	0.0294	0
39333	0.0297	0
39339	0.0309	0
39341	0.0404	0
39372	0	0.0196
39514	0.0333	0
39524	0	0.0213
39525	0.0106	0.0215
39605	0	0.0297
39606	0	0.03
39748	0	0.019
39749	0	0.0192
39751	0	0.0183
39756	0	0.0182
39819	0.0377	0
39854	0	0.0179
39870	0.0308	0
39908	0	0.0182
39909	0	0.0275
39910	0	0.0183
39953	0	0.0206
39970	0	0.0238
39983	0	0.0233
39984	0	0.0217
39985	0	0.0217
39986	0	0.0194
39987	0	0.0185
40053	0	0.0227
40059	0	0.0247
40063	0.0112	0.0127
40126	0.0118	0.013
40134	0	0.0241
40135	0	0.0233
40139	0.012	0.0139
40154	0	0.0263
40155	0	0.027
40156	0	0.0278
40157	0	0.027
40170	0	0.0233
40282	0	0.0194
40304	0	0.0194
40305	0	0.0194
40306	0	0.0196
40369	0	0.0225
40508	0	0.019
40529	0	0.0204
40571	0	0.0198
40572	0	0.0192
40573	0	0.0202
40598	0	0.0217
40677	0	0.0192
40713	0	0.0192
40714	0	0.019
40758	0	0.0192
40763	0	0.02
40804	0	0.0202
40805	0	0.0194
40806	0	0.0204
40839	0.0465	0.00935
40841	0.0353	0.00952
40842	0.0471	0.00971
40907	0.0111	0.0202
40910	0.0114	0.0213
40913	0.0109	0.0213
40988	0.0556	0.0133
40989	0.0541	0.0133
40993	0.0533	0.0133
40994	0.0533	0.0132
41080	0	0.0208
41144	0.0225	0
41146	0.0241	0
41148	0.0235	0
41150	0.0238	0
41291	0.0364	0
41292	0.0351	0
41294	0.0351	0
41295	0.0357	0
41334	0	0.0172
41359	0.0312	0
41360	0.0159	0.00847
41424	0	0.0211
41485	0.0426	0
41490	0.02	0.012
41575	0	0.0256
41576	0	0.0247
41577	0	0.0253
41579	0.0484	0
41670	0.0294	0
41720	0	0.0247
41722	0	0.0238
41729	0	0.043
41809	0.0274	0
41876	0	0.0225
41878	0	0.029
41879	0	0.0282
41901	0.0116	0.0361
41914	0.0217	0
41924	0.0326	0
41925	0.033	0
41960	0.0222	0
42012	0	0.0202
42057	0	0.0175
42074	0.0476	0
42075	0.05	0
42082	0	0.0189
42167	0	0.0189
42198	0.0341	0
42199	0.0444	0
42200	0.0444	0
42201	0.0595	0
42339	0	0.0185
42395	0	0.019
42401	0.0233	0
42625	0.0273	0
42711	0.0253	0
42712	0.025	0
42865	0	0.0204
42935	0	0.0247
42938	0	0.0241
42941	0.0125	0.0244
42955	0.0267	0
42970	0	0.0233
43016	0.0294	0
43018	0.027	0
43019	0.0274	0
43020	0.027	0
43028	0	0.0175
43113	0.0341	0
43114	0.0333	0
43115	0.0341	0
43166	0.0278	0
43216	0.0442	0
43264	0.0275	0
43268	0.02	0.0101
43269	0.0101	0.0204
43373	0	0.0226
43455	0	0.0208
43527	0.0194	0
43559	0.0196	0
43591	0	0.025
43642	0	0.0235
43644	0	0.0238
43645	0	0.0202
43666	0	0.0215
43708	0.0227	0
43709	0.023	0
43710	0.0227	0
43732	0.0244	0
43838	0.0118	0.0364
43840	0.0114	0.0345
43862	0.0244	0
43985	0.0256	0.032
43986	0.0267	0.0397
43989	0.0263	0.0317
43990	0.0141	0.00847
43994	0	0.0183
44035	0	0.0229
44036	0	0.0231
44037	0	0.0242
44041	0.023	0.00781
44185	0	0.0283
44186	0	0.028
44495	0.0104	0.0164
44545	0.0127	0.00893
44546	0.0128	0.00909
44547	0.0127	0.00901
44548	0.0127	0.00893
44549	0.0127	0.00885
44578	0	0.0172
44580	0.0286	0
44583	0.0282	0
44587	0.0149	0.0175
44593	0.0152	0.0248
44594	0	0.0252
44596	0	0.025
44597	0	0.0254
44599	0	0.0248
44615	0	0.0171
44685	0	0.0185
44720	0	0.0588
44744	0	0.0339
44747	0	0.0256
44750	0	0.027
44815	0.0139	0.0174
44817	0.0145	0.0179
44821	0	0.0168
44961	0.00952	0.0157
45111	0	0.0179
45559	0.0241	0
45574	0.0238	0
45615	0.0441	0
45668	0.0308	0
45669	0.0303	0.0137
45673	0.0278	0.0145
45940	0	0.027
45970	0.0339	0
45973	0.0476	0
46090	0	0.029
46100	0.027	0
46190	0.0111	0.0122
46196	0.0111	0.012
46385	0.0235	0
46386	0.025	0
46531	0.0488	0
46532	0.05	0
46533	0.0488	0
46539	0	0.0267
46640	0.0164	0.0112
46643	0.0159	0.0111
46645	0.0169	0.0114
46787	0.0156	0.0143
46791	0.0312	0.0145
46793	0.0154	0.0139
46844	0.0159	0.0133
46852	0	0.0267
46854	0	0.0263
46855	0	0.026
46911	0.0156	0.0145
46913	0.0133	0.013
46921	0.0128	0.0119
46931	0.0253	0
47000	0	0.0241
47062	0.0192	0.013
47065	0.0179	0.0133
47068	0.0179	0.0133
47069	0.0172	0.0127
47125	0.0357	0
47127	0.0351	0
47257	0	0.0241
47258	0	0.023
47274	0.0377	0
47276	0.0377	0
47278	0.037	0
47295	0.0182	0.0099
47297	0	0.019
47304	0	0.019
47310	0.0294	0
47338	0	0.0185
47439	0	0.0185
47444	0.0137	0.0297
47445	0.0141	0.0303
47448	0.0278	0
47450	0	0.0208
47452	0	0.0211
47551	0.0263	0
47552	0.0253	0
47644	0.0154	0.0125
47647	0.0147	0.0125
47651	0.0139	0.0125
47652	0.0135	0.0127
47666	0	0.0244
47667	0	0.0253
47671	0	0.0238
47727	0.0417	0
47728	0.0429	0
47729	0.0435	0
47795	0.013	0.0104
47811	0	0.0253
47813	0	0.0244
47878	0.0476	0
47897	0	0.0217
47898	0	0.0217
47906	0	0.0227
47945	0.0294	0
47979	0	0.043
47982	0	0.0377
47999	0.0114	0.0112
48013	0	0.023
48116	0.0217	0
48131	0	0.0533
48132	0	0.0588
48137	0.0116	0.0149
48194	0	0.027
48249	0.0337	0
48250	0.022	0
48251	0.0337	0
48398	0.0278	0
48400	0.0278	0
48401	0.0278	0
48402	0.0282	0
48463	0.0139	0.0159
48500	0.0469	0
48501	0.0462	0
48502	0.0317	0
48506	0.0323	0
48527	0.0238	0
48528	0.0238	0
48529	0.0361	0
48530	0.0238	0.0152
48564	0	0.027
48577	0.0227	0
48646	0	0.026
48677	0.027	0
48678	0.0278	0
48679	0.0274	0
48680	0.0274	0
48859	0.0256	0
48880	0.0125	0.00862
48881	0.0247	0
48882	0.025	0
48907	0.0128	0.0177
48938	0	0.0177
49010	0.0278	0
49032	0.0253	0
49056	0.0133	0.0198
49059	0.013	0.0101
49155	0	0.0253
49284	0.0154	0.01
49330	0.0278	0
49332	0	0.0196
49356	0.0247	0
49357	0.012	0.00935
49366	0.012	0.01
49506	0.0189	0.0175
49587	0	0.022
49638	0	0.0204
49639	0	0.02
49647	0.0141	0.0098
49814	0.0152	0.013
49845	0	0.0247
49847	0	0.0244
49848	0	0.025
49851	0	0.0213
49994	0	0.0198
50094	0	0.0179
50105	0.0282	0
50145	0	0.0244
50148	0	0.0244
50207	0	0.0202
50274	0.0215	0
50294	0.0256	0
50295	0	0.0244
50460	0	0.0241
50699	0	0.0247
50718	0	0.0267
50795	0.0182	0.0256
50797	0.0179	0.0244
50798	0.0179	0.025
50842	0.0299	0
50940	0.0123	0.0202
50941	0.0122	0.0202
50947	0.0125	0.0104
50984	0	0.0238
50985	0	0.0233
51131	0	0.0235
51133	0	0.0235
51162	0	0.0206
51189	0.0361	0.0106
51190	0.0357	0.0101
51191	0.05	0.0105
51324	0.0208	0
51325	0.0204	0
51339	0.0326	0.0135
51340	0.0435	0.013
51341	0.0333	0.0132
51419	0.0294	0
51512	0.0476	0
51620	0.0317	0
51787	0	0.0274
51906	0.0105	0.0303
51908	0.0106	0.0286
52033	0.0115	0.00901
52048	0.023	0.0185
52051	0.0222	0.0183
52056	0.0241	0.0187
52057	0.0227	0.0183
52156	0.037	0
52158	0.0351	0
52168	0	0.0235
52179	0.0141	0.0098
52180	0.0145	0.01
52182	0.0149	0.00962
52231	0	0.0211
52249	0	0.0238
52299	0.0227	0
52305	0.0235	0
52309	0.0357	0.0112
52311	0.0349	0.0108
52313	0.0353	0.011
52376	0	0.0312
52387	0.0128	0.0156
52388	0.013	0.0154
52391	0.0123	0.0152
52392	0.0128	0.0154
52394	0.0123	0.029
52406	0.0118	0.0156
52459	0.0405	0.0159
