ASM_1, 904 contigs, total 5203303 bp, min 201 bp, max 436365 bp, avg 5756 bp, N50 193608 bp
ASM_45, 358 contigs, total 4872351 bp, min 201 bp, max 424196 bp, avg 13610 bp, N50 82979 bp
ASM_46, 1448 contigs, total 5712526 bp, min 202 bp, max 114907 bp, avg 3945 bp, N50 21377 bp
ASM_47, 424 contigs, total 4856691 bp, min 201 bp, max 280598 bp, avg 11454 bp, N50 61730 bp
ASM_48, 1721 contigs, total 5881580 bp, min 201 bp, max 271937 bp, avg 3418 bp, N50 82692 bp
ASM_49, 3140 contigs, total 6545957 bp, min 204 bp, max 583569 bp, avg 2085 bp, N50 88502 bp
ASM_5, 90 contigs, total 2894493 bp, min 201 bp, max 180745 bp, avg 32161 bp, N50 89873 bp
ASM_50, 190 contigs, total 7687899 bp, min 201 bp, max 1036145 bp, avg 40463 bp, N50 290988 bp
ASM_51, 300 contigs, total 8263387 bp, min 200 bp, max 666380 bp, avg 27545 bp, N50 144545 bp
ASM_52, 166 contigs, total 7684836 bp, min 202 bp, max 1036355 bp, avg 46294 bp, N50 292017 bp
ASM_53, 399 contigs, total 4923935 bp, min 210 bp, max 525342 bp, avg 12341 bp, N50 81384 bp
ASM_54, 1063 contigs, total 3389210 bp, min 207 bp, max 301540 bp, avg 3188 bp, N50 95691 bp
ASM_55, 873 contigs, total 3085616 bp, min 204 bp, max 40130 bp, avg 3534 bp, N50 6089 bp
ASM_56, 107 contigs, total 2909418 bp, min 201 bp, max 668668 bp, avg 27191 bp, N50 175686 bp
ASM_57, 37723 contigs, total 23748791 bp, min 200 bp, max 15064 bp, avg 630 bp, N50 655 bp
ASM_6, 2940 contigs, total 7475131 bp, min 201 bp, max 666277 bp, avg 2543 bp, N50 89648 bp
ASM_7, 16 contigs, total 9062 bp, min 316 bp, max 2315 bp, avg 566 bp, N50 469 bp
ASM_8, 3360 contigs, total 1550340 bp, min 202 bp, max 12901 bp, avg 461 bp, N50 450 bp
ASM_9, 24 contigs, total 9457 bp, min 231 bp, max 760 bp, avg 394 bp, N50 393 bp
BHI_blank, 1971 contigs, total 1118826 bp, min 202 bp, max 3776 bp, avg 568 bp, N50 590 bp
contig_summary.txt,
HM611, 27 contigs, total 178029 bp, min 207 bp, max 167075 bp, avg 6594 bp, N50 167075 bp
HM681, 223 contigs, total 6586859 bp, min 201 bp, max 662480 bp, avg 29537 bp, N50 231751 bp
intermediate_contigs,
JKid, 11547 contigs, total 16960799 bp, min 201 bp, max 447864 bp, avg 1469 bp, N50 9776 bp
JMother, 54444 contigs, total 37669657 bp, min 201 bp, max 40941 bp, avg 692 bp, N50 722 bp
Library_reagents_1, 3 contigs, total 883 bp, min 207 bp, max 388 bp, avg 294 bp, N50 288 bp
Library_reagents_2, 11 contigs, total 3751 bp, min 201 bp, max 479 bp, avg 341 bp, N50 354 bp
Mock_1, 2171 contigs, total 18650238 bp, min 200 bp, max 910190 bp, avg 8591 bp, N50 135492 bp
Mock_2, 11660 contigs, total 10951990 bp, min 213 bp, max 18793 bp, avg 939 bp, N50 1230 bp
Mock_3, 1907 contigs, total 18809989 bp, min 200 bp, max 910266 bp, avg 9864 bp, N50 135458 bp
Mock_4, 41 contigs, total 14484 bp, min 200 bp, max 755 bp, avg 353 bp, N50 352 bp
Mock_5, 2410 contigs, total 19133763 bp, min 200 bp, max 910349 bp, avg 7939 bp, N50 137569 bp
Mock_6, 1937 contigs, total 18813645 bp, min 200 bp, max 910325 bp, avg 9713 bp, N50 131982 bp
SP7524_full, 20 contigs, total 7616 bp, min 201 bp, max 1003 bp, avg 381 bp, N50 372 bp
SP7524_noHL, 1443 contigs, total 623858 bp, min 200 bp, max 4161 bp, avg 432 bp, N50 428 bp
SP7524_virome, 337 contigs, total 249795 bp, min 201 bp, max 41666 bp, avg 741 bp, N50 941 bp
SP8704_full, 4612 contigs, total 11258154 bp, min 200 bp, max 99928 bp, avg 2441 bp, N50 9535 bp
SP8704_noHL, 3362 contigs, total 1559429 bp, min 200 bp, max 2609 bp, avg 464 bp, N50 467 bp
SP8704_virome, 22 contigs, total 7872 bp, min 201 bp, max 686 bp, avg 358 bp, N50 347 bp
SP8734_full, 4379 contigs, total 3233856 bp, min 200 bp, max 9678 bp, avg 738 bp, N50 928 bp
SP8734_noHL, 21 contigs, total 9157 bp, min 202 bp, max 1685 bp, avg 436 bp, N50 391 bp
SP8734_virome, 13 contigs, total 4438 bp, min 207 bp, max 480 bp, avg 341 bp, N50 349 bp
SP8892_full, 20149 contigs, total 19369336 bp, min 200 bp, max 224061 bp, avg 961 bp, N50 1233 bp
SP8892_noHL, 4446 contigs, total 2050603 bp, min 200 bp, max 12084 bp, avg 461 bp, N50 456 bp
SP9829_noHL, 1102 contigs, total 456969 bp, min 200 bp, max 2487 bp, avg 415 bp, N50 419 bp
SP9829_virome, 67 contigs, total 24909 bp, min 205 bp, max 863 bp, avg 372 bp, N50 358 bp
SPIT_JP_1, 52354 contigs, total 41764885 bp, min 200 bp, max 153874 bp, avg 798 bp, N50 927 bp
SPIT_JP_2, 55227 contigs, total 43877632 bp, min 200 bp, max 225370 bp, avg 794 bp, N50 923 bp
SPIT_JP_3, 18342 contigs, total 10399108 bp, min 200 bp, max 9573 bp, avg 567 bp, N50 579 bp
SPIT_JP_4, 46803 contigs, total 37593079 bp, min 200 bp, max 145926 bp, avg 803 bp, N50 944 bp
SPIT_JP_5, 39486 contigs, total 29686659 bp, min 200 bp, max 71932 bp, avg 752 bp, N50 846 bp
SPIT_JP_6, 23 contigs, total 7811 bp, min 210 bp, max 506 bp, avg 340 bp, N50 344 bp
SPIT_JP_7, 34662 contigs, total 23248540 bp, min 200 bp, max 28991 bp, avg 671 bp, N50 719 bp
SPIT_JP_8, 21853 contigs, total 12398095 bp, min 200 bp, max 7976 bp, avg 567 bp, N50 582 bp
SPIT_JP_9, 19764 contigs, total 10854833 bp, min 200 bp, max 6596 bp, avg 549 bp, N50 558 bp
SPIT_JP_VIROME_1, 304 contigs, total 237997 bp, min 204 bp, max 13973 bp, avg 783 bp, N50 1045 bp
SPIT_JP_VIROME_2, 2471 contigs, total 2369992 bp, min 201 bp, max 56731 bp, avg 959 bp, N50 1583 bp
SPIT_JP_VIROME_3, 33425 contigs, total 22443742 bp, min 200 bp, max 51494 bp, avg 671 bp, N50 699 bp
SPIT_TG_1, 48931 contigs, total 36316893 bp, min 200 bp, max 24370 bp, avg 742 bp, N50 831 bp
SPIT_TG_2, 46409 contigs, total 33330993 bp, min 200 bp, max 22920 bp, avg 718 bp, N50 790 bp
SPIT_TG_3, 44518 contigs, total 31576616 bp, min 200 bp, max 21489 bp, avg 709 bp, N50 782 bp
SPIT_TG_4, 36 contigs, total 16871 bp, min 201 bp, max 2357 bp, avg 469 bp, N50 421 bp
SPIT_TG_5, 44932 contigs, total 28626910 bp, min 200 bp, max 15030 bp, avg 637 bp, N50 672 bp
SPIT_TG_6, 51480 contigs, total 38142402 bp, min 200 bp, max 34422 bp, avg 741 bp, N50 836 bp
SPIT_TG_7, 42624 contigs, total 27364105 bp, min 200 bp, max 12379 bp, avg 642 bp, N50 675 bp
SPIT_TG_8, 22913 contigs, total 13900421 bp, min 200 bp, max 18965 bp, avg 607 bp, N50 621 bp
SPIT_TGnew_Virome_1,
SPIT_TGnew_Virome_2, 23 contigs, total 8566 bp, min 241 bp, max 723 bp, avg 372 bp, N50 368 bp
SPIT_TGnew_Virome_3, 104 contigs, total 48156 bp, min 202 bp, max 1597 bp, avg 463 bp, N50 461 bp
SPIT_TG_Virome_1, 761 contigs, total 647507 bp, min 204 bp, max 48886 bp, avg 851 bp, N50 1228 bp
SPIT_TG_Virome_2, 2493 contigs, total 2467578 bp, min 200 bp, max 50432 bp, avg 990 bp, N50 1498 bp
SPIT_TG_Virome_3, 15043 contigs, total 9074405 bp, min 201 bp, max 47069 bp, avg 603 bp, N50 593 bp
tmp,
Undetermined,
W100_D1, 33 contigs, total 12494 bp, min 204 bp, max 1141 bp, avg 379 bp, N50 361 bp
W100_D5, 363 contigs, total 7045130 bp, min 200 bp, max 534390 bp, avg 19408 bp, N50 187884 bp
W101_D1, 1573 contigs, total 7642841 bp, min 200 bp, max 534467 bp, avg 4859 bp, N50 187401 bp
W101_D5, 1081 contigs, total 7395410 bp, min 200 bp, max 535020 bp, avg 6841 bp, N50 187884 bp
W102_D1, 2793 contigs, total 9364061 bp, min 200 bp, max 534602 bp, avg 3353 bp, N50 154539 bp
W102_D5, 689 contigs, total 7186517 bp, min 200 bp, max 456428 bp, avg 10430 bp, N50 189090 bp
W103_D1, 158 contigs, total 2968880 bp, min 202 bp, max 629881 bp, avg 18790 bp, N50 154212 bp
W103_D5, 137 contigs, total 2962794 bp, min 202 bp, max 629859 bp, avg 21626 bp, N50 154212 bp
W104_D1, 141 contigs, total 2963880 bp, min 202 bp, max 633614 bp, avg 21020 bp, N50 154212 bp
W104_D5, 172 contigs, total 2976142 bp, min 202 bp, max 629859 bp, avg 17303 bp, N50 154212 bp
W105_D1, 150 contigs, total 2966956 bp, min 202 bp, max 629881 bp, avg 19780 bp, N50 154212 bp
W105_D5, 126 contigs, total 2958011 bp, min 202 bp, max 314355 bp, avg 23476 bp, N50 154190 bp
W106_D1, 262 contigs, total 7000202 bp, min 200 bp, max 534496 bp, avg 26718 bp, N50 207473 bp
W106_D5, 487 contigs, total 6523406 bp, min 216 bp, max 271806 bp, avg 13395 bp, N50 33593 bp
W107_D1, 76 contigs, total 28686 bp, min 202 bp, max 993 bp, avg 377 bp, N50 361 bp
W107_D5, 228 contigs, total 6988759 bp, min 200 bp, max 534808 bp, avg 30652 bp, N50 189829 bp
W108_D1, 310 contigs, total 7017465 bp, min 200 bp, max 534351 bp, avg 22637 bp, N50 189829 bp
W108_D5, 6228 contigs, total 3997705 bp, min 207 bp, max 7160 bp, avg 642 bp, N50 693 bp
W10_D1, 82 contigs, total 2861771 bp, min 202 bp, max 864684 bp, avg 34900 bp, N50 148369 bp
W10_D5, 4498 contigs, total 5195486 bp, min 202 bp, max 864789 bp, avg 1155 bp, N50 32888 bp
W110_D5, 220 contigs, total 6837080 bp, min 201 bp, max 662476 bp, avg 31078 bp, N50 194614 bp
W114_D5, 249 contigs, total 6846608 bp, min 201 bp, max 662476 bp, avg 27496 bp, N50 183184 bp
W115_D1, 168 contigs, total 7570002 bp, min 207 bp, max 492075 bp, avg 45060 bp, N50 241341 bp
W115_D5, 111 contigs, total 4892543 bp, min 210 bp, max 678933 bp, avg 44077 bp, N50 244376 bp
W116_D1, 157 contigs, total 7561714 bp, min 200 bp, max 428641 bp, avg 48164 bp, N50 163972 bp
W116_D5, 174 contigs, total 4917524 bp, min 202 bp, max 491820 bp, avg 28262 bp, N50 218514 bp
W117_D1, 161 contigs, total 7567885 bp, min 204 bp, max 580706 bp, avg 47005 bp, N50 204282 bp
W117_D5, 128 contigs, total 4900436 bp, min 201 bp, max 920517 bp, avg 38285 bp, N50 277895 bp
W118_D1, 73 contigs, total 2682397 bp, min 213 bp, max 275458 bp, avg 36745 bp, N50 184074 bp
W118_D1_Virome, 648 contigs, total 272380 bp, min 200 bp, max 1710 bp, avg 420 bp, N50 412 bp
W119_D1, 86 contigs, total 2688137 bp, min 203 bp, max 355016 bp, avg 31257 bp, N50 204105 bp
W119_D1_Virome, 8241 contigs, total 10432749 bp, min 200 bp, max 27362 bp, avg 1266 bp, N50 2276 bp
W11_D1, 116 contigs, total 2873212 bp, min 201 bp, max 864600 bp, avg 24769 bp, N50 148369 bp
W11_D5, 123 contigs, total 2876248 bp, min 202 bp, max 864837 bp, avg 23384 bp, N50 148369 bp
W127_D5, 139 contigs, total 6554677 bp, min 213 bp, max 661493 bp, avg 47156 bp, N50 292911 bp
W128_D5, 138 contigs, total 6554082 bp, min 222 bp, max 687872 bp, avg 47493 bp, N50 292911 bp
W129_D5, 155 contigs, total 6555447 bp, min 216 bp, max 769365 bp, avg 42293 bp, N50 185043 bp
W12_D1, 174 contigs, total 2894942 bp, min 202 bp, max 864942 bp, avg 16638 bp, N50 202454 bp
W12_D5, 104 contigs, total 2871008 bp, min 201 bp, max 864837 bp, avg 27606 bp, N50 202169 bp
W133_D5, 218 contigs, total 3808369 bp, min 202 bp, max 150215 bp, avg 17470 bp, N50 64176 bp
W135_D5, 416 contigs, total 3887554 bp, min 200 bp, max 150215 bp, avg 9345 bp, N50 55727 bp
W137_D5, 3088 contigs, total 5152080 bp, min 201 bp, max 150215 bp, avg 1668 bp, N50 43748 bp
W138_D5, 3065 contigs, total 5999877 bp, min 205 bp, max 150216 bp, avg 1958 bp, N50 35171 bp
W139_D1, 814 contigs, total 3204520 bp, min 200 bp, max 505285 bp, avg 3937 bp, N50 171716 bp
W139_D1_Virome, 9519 contigs, total 13327252 bp, min 200 bp, max 95954 bp, avg 1400 bp, N50 9488 bp
W139_D5, 180 contigs, total 2874087 bp, min 200 bp, max 505285 bp, avg 15967 bp, N50 176004 bp
W139_D5_Hoffman, 126 contigs, total 2850996 bp, min 200 bp, max 505285 bp, avg 22627 bp, N50 176003 bp
W139_D5_Virome, 2253 contigs, total 1279706 bp, min 201 bp, max 44018 bp, avg 568 bp, N50 561 bp
W13_D1, 397 contigs, total 6680878 bp, min 203 bp, max 684312 bp, avg 16828 bp, N50 298535 bp
W140_D1, 884 contigs, total 3238309 bp, min 200 bp, max 505285 bp, avg 3663 bp, N50 171716 bp
W140_D1_Virome, 9605 contigs, total 13430421 bp, min 200 bp, max 73576 bp, avg 1398 bp, N50 9843 bp
W140_D5, 182 contigs, total 2875447 bp, min 211 bp, max 505285 bp, avg 15799 bp, N50 175882 bp
W140_D5_Hoffman, 137 contigs, total 2856135 bp, min 200 bp, max 505285 bp, avg 20848 bp, N50 176005 bp
W140_D5_Virome, 1370 contigs, total 690386 bp, min 200 bp, max 44018 bp, avg 504 bp, N50 470 bp
W141_D1, 1739 contigs, total 3831209 bp, min 200 bp, max 329536 bp, avg 2203 bp, N50 127421 bp
W141_D1_Hoffman, 212 contigs, total 2891029 bp, min 200 bp, max 505285 bp, avg 13637 bp, N50 176003 bp
W141_D1_Virome, 12 contigs, total 4075 bp, min 215 bp, max 491 bp, avg 340 bp, N50 361 bp
W141_D5, 1039 contigs, total 3237598 bp, min 200 bp, max 505285 bp, avg 3116 bp, N50 171715 bp
W141_D5_Hoffman, 180 contigs, total 2869629 bp, min 200 bp, max 505285 bp, avg 15942 bp, N50 176005 bp
W141_D5_Virome, 2866 contigs, total 2652413 bp, min 202 bp, max 44018 bp, avg 925 bp, N50 1183 bp
W142_D1, 407 contigs, total 3036473 bp, min 200 bp, max 501868 bp, avg 7461 bp, N50 176002 bp
W142_D1_Hoffman, 97 contigs, total 2837364 bp, min 221 bp, max 505285 bp, avg 29251 bp, N50 175880 bp
W142_D1_Virome, 8738 contigs, total 12307635 bp, min 200 bp, max 50993 bp, avg 1409 bp, N50 5113 bp
W142_D5, 115 contigs, total 2839885 bp, min 200 bp, max 505285 bp, avg 24695 bp, N50 176002 bp
W142_D5_Hoffman, 415 contigs, total 2956481 bp, min 200 bp, max 505285 bp, avg 7124 bp, N50 176002 bp
W142_D5_Virome, 26 contigs, total 10412 bp, min 222 bp, max 925 bp, avg 400 bp, N50 393 bp
W143_D1, 611 contigs, total 3150262 bp, min 200 bp, max 166097 bp, avg 5156 bp, N50 46601 bp
W143_D1_Hoffman, 105 contigs, total 2836384 bp, min 210 bp, max 355967 bp, avg 27013 bp, N50 176003 bp
W143_D1_Virome, 9007 contigs, total 10042321 bp, min 200 bp, max 44814 bp, avg 1115 bp, N50 1770 bp
W143_D5, 110 contigs, total 2837502 bp, min 200 bp, max 474952 bp, avg 25795 bp, N50 176002 bp
W143_D5_Hoffman, 161 contigs, total 2856194 bp, min 200 bp, max 505285 bp, avg 17740 bp, N50 171716 bp
W143_D5_Virome, 31 contigs, total 53498 bp, min 207 bp, max 17683 bp, avg 1726 bp, N50 12019 bp
W144_D1, 121 contigs, total 2842034 bp, min 200 bp, max 505285 bp, avg 23488 bp, N50 176002 bp
W144_D1_Hoffman, 151 contigs, total 2824688 bp, min 233 bp, max 363397 bp, avg 18707 bp, N50 83402 bp
W144_D1_Virome, 8662 contigs, total 12187236 bp, min 200 bp, max 74174 bp, avg 1407 bp, N50 4642 bp
W144_D5, 126 contigs, total 2842549 bp, min 200 bp, max 505285 bp, avg 22560 bp, N50 176003 bp
W144_D5_Hoffman, 198 contigs, total 2869317 bp, min 200 bp, max 505285 bp, avg 14492 bp, N50 175880 bp
W144_D5_Virome, 1799 contigs, total 884561 bp, min 202 bp, max 44018 bp, avg 492 bp, N50 456 bp
W145_D1, 111 contigs, total 2938306 bp, min 200 bp, max 348659 bp, avg 26471 bp, N50 145271 bp
W145_D1_Hoffman, 127 contigs, total 2942483 bp, min 212 bp, max 348514 bp, avg 23169 bp, N50 145103 bp
W145_D1_Virome, 8174 contigs, total 9709876 bp, min 200 bp, max 48319 bp, avg 1188 bp, N50 1834 bp
W145_D5, 288 contigs, total 3001603 bp, min 207 bp, max 348659 bp, avg 10422 bp, N50 145323 bp
W145_D5_Hoffman, 113 contigs, total 2935940 bp, min 201 bp, max 348301 bp, avg 25982 bp, N50 145376 bp
W145_D5_Virome, 503 contigs, total 293164 bp, min 221 bp, max 43096 bp, avg 583 bp, N50 531 bp
W146_D1, 122 contigs, total 2939291 bp, min 207 bp, max 348605 bp, avg 24093 bp, N50 145585 bp
W146_D1_Hoffman, 294 contigs, total 3011565 bp, min 201 bp, max 345273 bp, avg 10243 bp, N50 106350 bp
W146_D1_Virome, 9353 contigs, total 6756916 bp, min 200 bp, max 43096 bp, avg 722 bp, N50 810 bp
W146_D5, 130 contigs, total 2942428 bp, min 207 bp, max 348605 bp, avg 22634 bp, N50 145324 bp
W146_D5_hoffman, 131 contigs, total 2942348 bp, min 203 bp, max 348606 bp, avg 22461 bp, N50 145395 bp
W146_D5_Virome, 2448 contigs, total 2713309 bp, min 201 bp, max 46734 bp, avg 1108 bp, N50 1494 bp
W147_D1,
W147_D1_Hoffman,
W147_D1_Virome, 2 contigs, total 428 bp, min 206 bp, max 222 bp, avg 214 bp, N50 222 bp
W147_D5, 109 contigs, total 2931901 bp, min 200 bp, max 345273 bp, avg 26898 bp, N50 104412 bp
W147_D5_Hoffman, 264 contigs, total 2990036 bp, min 207 bp, max 348479 bp, avg 11326 bp, N50 145200 bp
W147_D5_Virome, 347 contigs, total 2930171 bp, min 207 bp, max 133857 bp, avg 8444 bp, N50 19957 bp
W148_D1, 130 contigs, total 2940591 bp, min 207 bp, max 348425 bp, avg 22620 bp, N50 145312 bp
W148_D1_Hoffman, 136 contigs, total 2940467 bp, min 205 bp, max 345273 bp, avg 21621 bp, N50 106350 bp
W148_D1_Virome, 8995 contigs, total 10761867 bp, min 200 bp, max 44280 bp, avg 1196 bp, N50 2239 bp
W148_D5, 142 contigs, total 2947567 bp, min 218 bp, max 348479 bp, avg 20758 bp, N50 145349 bp
W148_D5_Hoffman, 160 contigs, total 2953029 bp, min 207 bp, max 348659 bp, avg 18456 bp, N50 145349 bp
W148_D5_Virome, 643 contigs, total 354314 bp, min 210 bp, max 43096 bp, avg 551 bp, N50 476 bp
W149_D1, 202 contigs, total 2971560 bp, min 204 bp, max 348612 bp, avg 14711 bp, N50 145200 bp
W149_D1_Hoffman, 240 contigs, total 2989568 bp, min 201 bp, max 348425 bp, avg 12457 bp, N50 107225 bp
W149_D1_Virome, 6 contigs, total 2019 bp, min 232 bp, max 462 bp, avg 337 bp, N50 358 bp
W149_D5, 171 contigs, total 2959660 bp, min 202 bp, max 348659 bp, avg 17308 bp, N50 145348 bp
W149_D5_Hoffman, 271 contigs, total 2997251 bp, min 207 bp, max 382926 bp, avg 11060 bp, N50 148370 bp
W149_D5_Virome, 1787 contigs, total 2866975 bp, min 200 bp, max 43785 bp, avg 1604 bp, N50 2355 bp
W14_D1, 174 contigs, total 6581769 bp, min 200 bp, max 684312 bp, avg 37826 bp, N50 329349 bp
W14_D5, 225 contigs, total 6599568 bp, min 200 bp, max 684312 bp, avg 29331 bp, N50 329349 bp
W150_D1, 171 contigs, total 2959233 bp, min 205 bp, max 348660 bp, avg 17305 bp, N50 145319 bp
W150_D1_Hoffman, 158 contigs, total 2957559 bp, min 208 bp, max 345273 bp, avg 18719 bp, N50 145362 bp
W150_D1_Virome, 7539 contigs, total 11271786 bp, min 200 bp, max 49723 bp, avg 1495 bp, N50 3946 bp
W150_D5, 176 contigs, total 2963142 bp, min 210 bp, max 348526 bp, avg 16836 bp, N50 145225 bp
W150_D5_Hoffman, 1096 contigs, total 501180 bp, min 210 bp, max 3747 bp, avg 457 bp, N50 450 bp
W150_D5_Virome, 1527 contigs, total 2857168 bp, min 202 bp, max 58327 bp, avg 1871 bp, N50 2901 bp
W15_D1, 157 contigs, total 6574557 bp, min 203 bp, max 684312 bp, avg 41876 bp, N50 329349 bp
W15_D5, 469 contigs, total 6706578 bp, min 203 bp, max 684312 bp, avg 14300 bp, N50 331096 bp
W16_D1, 185 contigs, total 6587334 bp, min 201 bp, max 684312 bp, avg 35607 bp, N50 329349 bp
W16_D5, 217 contigs, total 6598803 bp, min 203 bp, max 684312 bp, avg 30409 bp, N50 245855 bp
W17_D1, 184 contigs, total 6584916 bp, min 200 bp, max 684312 bp, avg 35788 bp, N50 329349 bp
W17_D5, 133 contigs, total 6562249 bp, min 201 bp, max 684312 bp, avg 49340 bp, N50 245855 bp
W18_D1, 137 contigs, total 6564263 bp, min 204 bp, max 684312 bp, avg 47914 bp, N50 245855 bp
W18_D5, 176 contigs, total 6580967 bp, min 203 bp, max 684312 bp, avg 37392 bp, N50 331096 bp
W19_D1, 523 contigs, total 8924148 bp, min 200 bp, max 588692 bp, avg 17063 bp, N50 142411 bp
W1_D1, 978 contigs, total 6856563 bp, min 200 bp, max 557569 bp, avg 7011 bp, N50 161306 bp
W20_D1, 410 contigs, total 8913833 bp, min 200 bp, max 558311 bp, avg 21741 bp, N50 176614 bp
W21_D1, 596 contigs, total 9030578 bp, min 200 bp, max 588698 bp, avg 15152 bp, N50 176885 bp
W22_D1, 880 contigs, total 3153893 bp, min 201 bp, max 315113 bp, avg 3584 bp, N50 98002 bp
W23_D1, 3556 contigs, total 4532658 bp, min 201 bp, max 315525 bp, avg 1275 bp, N50 48862 bp
W24_D1, 2028 contigs, total 3716561 bp, min 201 bp, max 239052 bp, avg 1833 bp, N50 86051 bp
W25_D1, 1106 contigs, total 9881998 bp, min 200 bp, max 534496 bp, avg 8935 bp, N50 130701 bp
W25_D5, 1967 contigs, total 7910668 bp, min 200 bp, max 534602 bp, avg 4022 bp, N50 185136 bp
W26_D1, 706 contigs, total 9929923 bp, min 200 bp, max 534602 bp, avg 14065 bp, N50 116598 bp
W26_D5, 461 contigs, total 7089744 bp, min 209 bp, max 456461 bp, avg 15379 bp, N50 187884 bp
W27_D1, 1109 contigs, total 9913611 bp, min 200 bp, max 534496 bp, avg 8939 bp, N50 131446 bp
W27_D5, 2937 contigs, total 9067212 bp, min 200 bp, max 534602 bp, avg 3087 bp, N50 157533 bp
W28_D1, 720 contigs, total 3185535 bp, min 201 bp, max 619726 bp, avg 4424 bp, N50 154212 bp
W28_D5, 6624 contigs, total 7856209 bp, min 202 bp, max 629881 bp, avg 1186 bp, N50 1508 bp
W29_D1, 4471 contigs, total 5056494 bp, min 201 bp, max 629881 bp, avg 1131 bp, N50 34836 bp
