site_id	W106_D5	W52_D1	W129_D5	W53_D1	W127_D5	W128_D5	W54_D5	W54_D1	W52_D5	W53_D5
253216	5	81	64	77	28	84	45	41	46	41
253218	6	82	67	78	28	81	45	41	44	41
253574	9	72	18	43	18	59	28	34	42	36
254098	9	83	53	73	35	49	40	58	36	42
256083	6	60	24	34	35	36	42	43	54	19
256642	2	11	8	5	12	19	8	4	14	16
256643	3	11	8	5	12	19	8	4	14	16
258078	13	1	2	7	44	53	27	6	48	47
258079	16	3	2	7	46	53	28	6	47	51
258081	15	3	2	7	44	55	30	6	47	52
258815	5	6	3	4	21	57	34	2	29	30
259206	8	4	2	2	31	50	40	1	38	38
259577	8	2	29	10	29	63	39	4	51	41
259581	7	3	25	11	29	59	39	4	55	42
259938	6	9	4	2	42	60	38	5	34	35
261002	11	16	32	7	50	77	51	11	66	54
262547	15	58	5	31	30	56	57	16	50	69
262886	14	8	3	4	26	38	29	1	39	30
262891	15	6	2	3	26	42	28	1	40	31
262935	14	4	1	2	24	41	30	1	33	32
262939	16	1	1	2	28	41	36	1	35	38
263236	18	19	9	20	29	39	45	20	39	33
263999	1	2	1	4	14	15	16	1	3	12
265027	15	22	1	18	40	42	65	7	55	60
265324	8	26	13	17	40	48	64	12	32	39
267985	12	124	55	63	47	57	32	65	41	40
269508	18	105	32	75	28	39	37	45	54	31
269976	12	93	38	70	32	28	25	46	27	21
270113	1	99	44	49	35	18	39	56	23	24
270122	1	97	41	47	32	18	38	62	24	27
270373	5	92	35	62	30	40	31	40	30	27
272350	11	99	46	94	43	41	20	49	34	35
275498	15	109	41	68	33	48	48	43	50	34
275631	11	83	40	58	33	40	39	27	53	27
275648	8	63	40	51	33	41	45	27	45	32
275785	7	52	20	44	33	39	46	28	45	56
276296	1	3	1	4	38	35	32	2	37	40
276600	7	49	11	32	43	59	43	16	51	62
277630	12	141	68	84	37	29	63	68	30	43
279538	6	103	42	48	41	24	36	51	49	49
279698	3	84	27	35	26	22	20	30	27	15
279699	3	83	27	37	27	22	20	31	29	15
279914	13	101	40	83	46	46	43	67	53	34
281712	9	102	34	103	35	43	40	44	33	39
286034	12	115	59	101	40	57	46	64	56	52
286501	6	83	50	72	48	56	61	61	44	59
294680	1	4	1	4	1	2	1	2	1	4
294681	1	4	1	5	1	2	1	2	1	4
294682	2	17	4	9	2	6	3	8	2	9
296795	6	21	11	17	5	5	11	10	7	5
300986	1	18	2	8	7	3	4	7	9	4
300988	1	21	2	10	7	3	5	9	9	5
300989	1	20	2	9	7	2	5	9	9	5
301071	10	60	21	38	21	21	19	33	27	22
302000	8	82	29	70	38	46	46	47	48	50
302499	4	55	30	48	35	29	51	31	59	35
303452	9	131	42	85	35	43	47	57	41	43
303937	9	81	35	55	34	41	41	36	37	46
303939	9	81	33	58	38	42	43	36	40	49
303941	9	85	34	59	38	42	43	36	40	49
304103	1	8	3	7	13	8	15	6	4	4
304164	4	10	15	8	5	9	10	6	14	15
304166	4	10	17	8	4	9	9	6	11	16
304189	5	13	26	11	6	28	12	8	27	24
304216	5	15	31	11	8	32	15	8	33	24
304217	5	15	30	11	7	34	14	9	33	23
304218	5	15	31	11	8	34	15	9	33	24
305003	10	70	32	51	13	19	24	30	28	22
305007	10	71	30	50	11	23	23	31	27	24
305008	10	69	31	50	12	23	24	28	27	25
305075	2	23	10	14	3	10	7	7	19	4
305082	2	19	8	9	3	6	5	4	11	1
305094	1	15	6	9	2	5	3	4	8	2
305109	1	5	1	5	2	2	2	4	3	1
305110	1	4	1	7	2	2	2	4	4	2
305112	1	4	1	7	2	2	2	3	4	2
307222	9	85	36	83	34	49	50	42	48	43
308634	9	81	33	49	29	48	46	55	30	58
312337	6	39	17	34	6	11	10	28	6	10
312339	6	39	17	36	6	12	11	27	6	9
312378	2	9	2	6	3	4	3	4	1	1
312379	2	7	2	6	3	3	2	4	1	1
312381	2	7	2	6	3	2	2	4	1	1
312523	5	14	11	8	6	5	6	8	8	12
312524	5	14	11	8	6	4	6	8	8	13
312525	5	14	11	10	6	4	6	8	8	13
312526	5	14	11	10	6	5	6	8	8	13
313138	6	78	40	69	34	38	42	51	43	60
314072	6	72	37	57	31	33	44	26	44	45
314886	14	92	40	49	37	51	28	39	35	46
314888	14	90	35	51	34	53	24	38	36	41
314889	14	91	34	49	34	52	24	38	36	42
315032	6	74	36	49	33	41	33	42	40	35
315033	6	75	36	52	35	43	34	42	41	36
315038	6	77	33	47	34	35	35	40	41	36
315039	6	76	34	49	36	40	35	41	43	35
315041	6	77	35	52	37	41	35	43	41	37
315464	10	70	44	70	36	37	45	43	27	50
316072	4	96	25	50	35	40	45	41	18	40
317751	6	57	36	34	20	42	29	23	29	45
317752	6	50	33	32	19	40	25	24	29	43
317753	6	48	36	34	21	40	23	24	29	43
317877	5	37	14	23	12	21	11	6	14	15
317898	5	31	5	17	9	9	7	6	11	8
317899	5	31	6	17	9	9	6	6	12	8
317908	4	17	1	11	3	6	4	1	7	4
317910	4	17	1	11	3	5	4	1	8	3
318141	1	8	5	5	9	17	16	5	16	11
318294	6	28	9	34	31	33	39	18	31	46
318362	10	50	32	51	30	30	34	27	34	39
318663	9	52	22	52	17	29	38	43	26	31
319151	12	19	20	17	40	45	34	9	35	45
319229	16	4	6	6	38	47	28	7	48	50
319529	5	14	2	3	26	33	34	10	21	28
319840	12	5	1	6	35	27	31	7	24	31
319918	13	6	3	8	27	32	27	6	24	36
320051	1	29	13	14	38	30	33	18	37	25
320052	1	29	13	14	38	29	33	17	36	24
320081	2	40	24	19	40	29	34	24	34	22
320082	2	41	24	19	40	32	34	25	36	23
320199	10	67	31	29	27	34	33	31	45	41
320382	3	12	2	6	12	6	9	8	14	10
320384	2	8	2	4	12	5	9	7	10	10
320385	2	7	2	4	7	4	5	7	6	9
320386	1	7	2	3	7	3	5	7	6	9
320387	2	7	2	3	6	4	3	7	6	9
320521	14	12	9	3	21	21	13	5	17	20
320698	6	5	2	1	16	30	39	2	41	46
320903	9	14	4	10	26	36	21	8	24	42
320905	9	14	5	12	24	35	21	9	24	42
321261	7	30	18	29	34	32	31	15	30	48
321481	7	10	8	12	40	63	31	10	45	41
322074	4	9	10	2	14	12	10	4	13	13
322088	4	10	10	2	16	13	9	6	14	15
323400	6	62	27	34	39	49	28	38	30	33
326430	5	83	45	59	21	56	29	37	29	35
326432	5	88	48	60	22	59	33	42	30	38
327825	2	38	20	22	22	26	28	20	25	14
328577	3	54	38	69	29	31	22	40	25	44
329169	8	62	26	46	32	69	41	32	37	30
329268	10	65	26	48	23	49	30	22	34	25
330076	5	13	8	8	7	15	16	3	10	9
330078	5	13	6	7	7	16	16	3	9	10
330079	4	11	6	7	7	13	13	3	9	8
330080	4	11	8	7	7	13	14	3	10	8
330495	8	8	5	4	32	30	28	8	32	44
331530	7	55	22	23	23	31	29	30	30	31
331804	7	34	18	24	24	39	42	15	31	46
331824	4	34	22	25	22	39	39	16	30	43
332013	2	24	8	23	28	34	38	8	32	42
332141	4	3	4	4	29	25	29	3	39	31
332143	4	3	4	4	30	23	27	3	38	27
332144	4	3	4	4	28	26	27	3	35	31
332146	4	3	4	4	26	25	26	3	36	31
332150	6	3	4	3	26	24	27	3	33	32
332289	13	12	5	3	31	32	24	6	34	32
332290	13	11	5	3	27	30	20	6	30	30
332293	13	13	6	3	28	31	21	5	31	32
332295	12	13	6	3	29	32	21	5	29	31
332859	7	92	41	86	26	33	35	54	27	42
332860	7	89	40	85	27	33	35	53	25	39
333779	10	87	27	56	24	48	27	43	40	31
334328	2	18	6	13	25	42	34	11	24	45
335492	6	17	2	10	32	51	44	8	56	54
336003	10	4	25	8	33	41	29	3	40	49
336006	9	3	25	8	28	35	26	3	39	44
339762	7	19	6	20	28	53	49	7	49	51
339764	7	18	6	20	26	52	47	7	49	47
340775	13	2	2	5	37	64	70	2	55	45
344095	8	10	28	6	32	33	16	2	22	23
344129	9	26	38	17	44	40	20	7	27	32
344130	8	26	36	17	44	39	19	7	28	31
344597	6	43	37	33	24	29	21	25	42	38
344924	3	45	36	24	23	49	35	10	36	31
344925	4	42	34	26	24	47	34	10	36	32
345075	9	15	51	16	45	57	44	13	49	54
346528	17	57	32	35	24	49	40	37	27	50
349641	4	76	55	48	19	35	32	30	42	25
349738	5	81	50	52	27	32	28	25	37	29
349814	10	77	43	52	27	43	29	36	36	38
349818	9	75	42	52	23	41	27	34	34	37
349820	9	77	44	50	25	41	27	34	35	37
351395	4	43	23	32	20	13	17	21	13	13
351432	1	22	11	16	12	7	6	9	8	7
351610	5	11	2	7	13	12	19	5	17	25
352000	17	16	4	2	28	33	40	14	31	36
352412	10	10	4	6	37	41	58	5	51	24
352715	1	45	19	29	6	12	18	20	27	16
352719	1	44	22	29	9	11	15	21	26	14
352720	1	43	20	28	8	11	19	22	22	13
352725	1	38	19	29	9	11	17	18	24	12
352732	1	42	18	24	8	8	11	21	21	11
352741	2	46	19	32	6	13	17	29	22	12
352742	2	45	19	32	6	12	16	29	20	12
352745	2	41	17	32	6	12	21	29	23	12
352794	3	55	28	46	18	22	25	42	28	26
352944	7	20	13	12	40	44	36	11	44	48
352998	8	17	11	14	28	43	37	9	46	46
354443	21	2	3	1	37	32	49	3	44	48
355149	9	10	2	2	48	63	46	3	47	35
355527	7	3	1	2	29	34	41	3	33	32
357025	7	13	14	21	7	9	9	10	1	7
357037	7	10	8	11	5	8	6	9	1	4
357142	1	13	4	13	11	11	6	6	7	10
357215	6	14	6	14	32	24	22	6	21	26
359005	5	12	2	3	1	7	13	4	7	9
359502	10	80	23	55	34	25	46	37	32	61
359672	12	74	48	60	23	39	38	30	27	46
360438	9	44	18	32	35	42	51	25	32	32
361259	20	69	10	23	38	51	35	21	36	65
361493	16	71	35	50	26	33	43	40	28	44
362703	9	92	56	46	50	36	45	58	40	32
363939	8	87	38	62	29	32	42	35	22	28
366644	4	26	12	14	17	27	17	4	21	19
366645	3	25	11	14	17	19	15	4	21	16
366965	6	79	38	58	18	27	31	27	32	30
367917	4	47	21	24	29	29	26	35	26	43
367918	4	45	21	23	28	30	23	33	24	40
368718	11	78	25	60	39	36	30	52	38	30
368751	9	67	17	67	29	40	32	54	36	32
369526	11	89	38	62	19	30	41	25	39	39
369676	7	75	49	60	30	31	35	36	32	28
369677	7	68	44	58	29	31	32	35	31	27
370488	13	107	48	66	34	54	55	48	35	48
371191	11	37	24	23	26	42	38	17	32	37
371307	6	5	7	13	17	31	43	3	27	38
371310	6	5	7	13	17	30	42	3	28	37
371312	6	5	7	13	17	32	41	3	29	37
371314	6	5	7	11	19	35	42	3	31	38
371315	6	5	7	11	19	34	41	3	31	38
371333	6	4	7	11	19	38	42	3	35	34
371449	5	3	13	4	31	52	33	2	51	33
372283	8	8	1	4	16	39	45	2	37	28
372440	8	9	2	6	30	55	42	1	20	42
372442	8	10	2	7	29	54	41	1	19	44
372681	13	53	26	26	29	50	26	20	25	26
373392	8	86	45	57	51	44	45	33	55	42
375309	17	73	29	64	30	48	48	42	44	43
375312	17	67	30	61	28	50	46	42	46	42
375316	17	80	32	66	30	52	53	43	46	51
375317	18	74	30	58	28	50	51	41	45	49
375835	11	83	26	52	27	36	33	50	30	39
376655	6	67	47	76	47	39	47	48	39	31
376904	13	69	37	62	37	32	30	38	41	35
377357	13	102	43	89	31	47	46	54	35	33
378220	13	78	35	72	21	34	44	56	37	36
378339	10	91	46	86	34	46	48	49	44	40
378491	13	85	39	67	28	42	54	51	58	61
379332	6	84	47	53	18	44	43	35	26	38
380130	1	91	28	53	41	42	35	47	19	28
380782	9	20	13	18	34	57	48	14	42	42
383087	12	14	1	5	53	69	63	1	54	42
384353	8	43	25	18	57	33	40	15	58	49
384354	8	43	24	18	59	33	40	15	59	51
384898	7	31	11	14	49	52	32	15	46	43
385198	9	18	6	7	19	33	37	5	23	36
385205	9	13	4	5	15	31	35	5	27	34
385671	2	83	35	41	19	28	40	30	52	39
387537	3	16	11	13	8	7	10	12	6	8
388638	5	108	43	57	33	34	38	45	31	35
388779	6	95	12	48	22	27	21	40	25	31
388785	6	86	9	47	21	29	20	36	25	30
388786	6	75	8	44	21	28	20	32	24	27
388787	6	86	11	46	21	29	20	34	25	29
388789	6	82	10	45	20	28	18	33	22	31
388938	2	29	5	13	10	16	17	24	8	10
388959	3	37	10	20	14	22	24	29	16	11
389578	10	113	45	93	42	55	35	51	42	32
390565	4	77	13	50	31	18	37	30	25	29
390663	1	25	5	15	3	8	6	5	12	4
390664	1	27	5	15	3	9	8	4	13	4
390665	1	28	5	16	4	9	8	4	14	4
390679	1	31	7	19	7	9	17	5	20	7
390690	2	39	11	25	10	15	23	9	24	11
390691	2	38	11	25	9	16	23	9	23	10
390693	2	36	11	26	8	16	21	9	24	11
390695	2	39	11	27	11	15	22	8	26	11
390696	2	37	12	27	11	16	21	8	26	11
390756	5	81	36	55	35	28	40	24	41	25
390759	5	82	34	55	34	29	40	24	42	26
390760	4	85	34	57	36	32	41	25	42	25
390761	5	84	34	56	33	32	41	23	43	28
391868	6	107	31	71	36	37	29	63	43	35
397189	13	138	79	111	35	52	76	102	59	61
397190	13	136	76	107	33	50	67	98	58	55
397193	15	137	80	109	35	52	72	103	57	62
397905	16	109	37	67	34	60	42	49	39	33
398661	11	119	40	90	40	44	63	71	55	48
400672	17	137	36	106	32	59	69	58	60	57
400673	17	138	33	107	31	59	69	59	60	57
401200	17	103	42	93	33	57	49	67	41	55
401225	15	114	45	97	38	57	42	56	40	59
402152	3	19	8	10	6	3	4	16	7	9
402153	3	19	8	11	6	3	4	15	6	9
402154	3	12	4	8	4	2	4	13	5	7
402895	9	14	5	12	40	50	50	2	35	47
402896	9	13	5	12	38	49	50	2	34	44
402899	9	11	5	12	41	49	47	1	36	47
402904	8	9	3	11	37	50	43	1	35	44
402905	5	9	3	11	36	45	39	1	32	37
403648	9	8	10	9	37	32	23	3	26	39
403649	8	8	10	9	37	32	24	3	25	39
403732	9	11	11	16	35	29	28	8	27	49
403795	11	4	2	8	37	27	21	4	29	47
403797	11	3	2	8	35	28	20	5	30	47
403798	11	3	2	8	31	27	22	5	30	44
403932	4	11	1	5	38	18	31	12	26	39
403947	4	9	1	5	40	21	31	12	27	39
403968	4	11	1	5	38	25	42	12	23	34
406379	17	92	38	70	40	49	54	48	31	50
407026	6	7	1	1	42	39	45	1	32	52
407080	9	10	2	2	31	32	38	2	19	42
407081	9	10	2	2	32	40	40	2	20	43
407183	14	7	2	3	35	36	57	3	37	50
407184	14	5	2	3	36	36	52	2	38	49
407272	9	25	12	13	42	36	48	13	31	51
407896	3	14	2	8	35	39	26	2	25	28
410492	17	67	32	59	21	49	31	23	56	42
410493	17	68	32	60	23	50	31	24	56	42
410494	17	69	31	57	23	50	30	23	57	41
410495	17	66	32	59	24	49	30	21	50	44
410645	2	65	36	51	27	53	38	40	46	46
411411	7	27	6	10	25	46	39	8	23	61
412387	9	114	45	54	45	29	28	61	25	40
412705	10	88	31	54	31	42	40	39	28	26
413558	11	80	29	68	50	31	45	43	50	39
414633	7	15	1	11	22	33	28	6	39	29
414650	8	9	1	9	25	35	33	6	37	31
414655	7	7	1	6	24	31	33	5	34	30
