site_id	W66_D5	W66_D1	W64_D5	W65_D5	W64_D1
224863	150	4	122	88	14
225011	178	7	96	99	15
225013	180	7	91	99	14
225349	66	3	60	56	7
225351	61	2	59	59	7
225352	58	2	60	57	7
225353	58	2	53	57	7
225417	16	1	17	15	1
225449	36	3	19	20	4
225468	52	3	25	26	6
226024	163	13	123	127	26
227623	43	5	24	16	4
227624	45	5	23	15	4
227626	44	7	25	18	3
227627	44	8	24	17	3
227656	59	8	46	40	5
227972	166	14	115	108	47
228315	172	14	118	81	52
228702	60	6	47	41	25
228741	38	6	39	31	22
228766	22	3	38	15	19
228772	21	2	35	14	19
228784	27	2	38	12	17
228787	26	2	38	15	18
228855	22	2	25	12	8
228868	21	2	25	12	7
231793	118	11	58	64	24
231851	116	11	54	64	30
231927	67	8	52	35	20
231946	67	10	62	33	20
231947	65	10	61	34	20
231948	66	10	61	32	20
231949	72	9	66	37	19
232038	106	11	85	58	14
232044	113	11	87	60	13
232100	142	9	101	74	22
232182	133	10	109	74	34
232400	173	7	101	95	22
232528	148	9	108	113	21
232682	157	6	90	110	14
232921	148	14	111	100	18
233066	191	10	128	112	24
233067	194	10	130	111	24
233928	139	7	111	103	17
235018	172	12	111	118	22
236522	14	2	19	15	2
236542	27	4	29	18	6
236551	31	5	33	17	6
236631	98	10	89	56	17
236635	90	9	90	57	16
236636	103	10	89	59	17
236637	101	9	91	61	16
236941	168	5	98	86	20
237155	140	5	128	77	24
238530	118	10	88	96	29
238989	128	3	74	72	10
239665	202	9	133	129	42
239670	200	9	129	120	42
239671	182	10	128	120	41
239672	181	10	125	122	39
239676	168	10	113	115	34
239847	178	6	124	115	19
239996	151	12	128	108	25
240190	108	8	75	82	12
240191	111	8	75	82	12
240192	109	8	75	80	12
240236	75	5	55	47	7
240237	76	5	55	46	7
240350	75	2	40	41	10
241720	128	5	104	85	19
242024	163	5	113	87	42
242143	155	7	117	78	24
242526	149	6	104	74	20
242530	151	7	111	79	21
242757	121	7	97	83	17
242942	109	6	79	82	13
243038	166	9	144	109	22
243246	141	3	120	118	15
243250	136	3	117	114	16
243251	138	3	117	114	16
243377	168	10	111	90	19
243379	165	10	106	93	18
243382	172	10	110	93	18
243528	147	10	112	105	21
243531	147	10	116	105	20
243957	158	8	81	80	11
244893	137	9	103	81	30
245903	84	1	70	48	17
245904	86	1	70	49	17
247274	167	14	105	109	20
247703	118	6	97	104	20
247784	68	4	40	47	14
247788	65	4	41	46	11
247791	64	4	37	44	14
247947	50	1	12	19	6
247950	52	1	15	19	6
247954	67	1	19	21	7
247956	68	1	19	19	7
247957	69	1	19	19	7
247960	72	1	21	19	7
247964	71	1	21	22	7
250112	139	13	123	77	29
250723	165	12	109	105	27
251958	158	3	121	118	51
251960	152	3	122	115	49
260923	42	7	38	38	29
260925	38	8	33	33	29
260926	37	7	34	32	29
260933	27	5	22	25	15
261017	29	4	4	10	18
261028	36	5	8	12	20
261030	36	5	8	11	20
261047	56	6	21	22	39
261049	59	6	27	24	44
261050	57	6	27	24	42
263346	198	14	120	115	46
263948	166	6	116	106	50
266172	188	13	133	130	35
266322	173	13	132	137	41
267443	72	2	60	41	13
267625	20	2	12	7	4
267626	21	2	12	8	4
267627	25	2	23	16	5
267684	69	3	57	42	8
269685	164	14	143	130	37
272246	120	11	114	74	23
272382	156	5	142	117	22
275400	112	4	74	50	30
275401	109	4	73	50	31
275402	108	4	69	51	31
275452	85	3	60	41	24
275464	95	3	66	42	24
275465	93	3	67	42	25
275501	114	5	84	46	17
275502	112	5	84	48	17
275721	146	16	90	77	46
275722	141	16	88	75	43
275736	150	16	98	79	44
275820	127	14	93	82	29
275977	152	7	88	86	23
276078	148	10	83	87	28
276081	148	11	87	86	28
276082	150	11	90	88	28
276126	138	16	78	86	25
276308	147	7	77	86	41
277426	152	7	107	108	34
277462	151	7	105	102	30
277720	152	9	95	100	36
277799	137	8	109	103	39
278130	111	4	127	110	38
278154	116	5	126	102	34
278296	152	5	114	117	21
278302	155	5	112	114	22
278659	166	10	145	119	38
279221	134	8	101	97	18
279222	138	7	102	101	20
280010	157	6	83	90	23
280315	146	10	108	99	31
280316	142	10	108	99	32
280464	161	8	96	97	37
280733	151	16	87	86	21
281862	109	1	87	85	31
281869	122	1	94	93	30
285563	142	5	81	68	51
288459	39	1	14	11	12
288460	39	1	14	13	13
288463	42	1	19	18	15
288465	45	1	27	17	15
292325	159	6	124	138	32
292326	158	6	122	136	33
293218	172	7	128	122	30
294120	175	8	127	125	21
294636	186	8	122	119	31
294641	183	8	127	105	30
294642	185	8	128	110	29
294885	33	1	12	22	4
294886	33	1	12	22	4
294894	40	2	16	15	8
294926	83	3	44	42	12
295210	176	15	117	135	21
295361	61	5	63	40	5
295365	58	5	67	39	5
295384	40	5	50	30	4
295405	27	4	31	20	3
295411	22	4	25	17	3
295417	22	4	25	16	2
295420	21	4	24	15	2
295432	9	4	13	6	1
295454	38	3	36	11	3
295455	36	3	35	12	3
295456	40	3	37	14	3
295562	63	3	59	34	4
295563	71	3	59	36	4
295564	70	3	56	36	4
295565	64	3	58	33	3
295570	79	3	65	41	4
295715	165	7	117	83	14
296015	80	7	50	48	11
296048	43	5	19	25	6
296065	35	4	13	17	6
296083	7	1	3	5	2
296085	29	3	11	15	6
296086	29	3	11	14	6
296087	30	4	11	14	6
296089	27	3	10	16	5
296095	33	4	13	17	5
296107	28	2	13	18	4
296517	170	7	98	82	25
297080	160	16	63	85	21
297163	161	16	81	91	22
297562	157	7	106	84	27
298443	160	5	72	103	29
300444	119	4	88	74	16
300445	123	4	101	75	17
300592	54	2	44	41	3
300594	54	2	46	39	3
301523	147	8	106	106	8
301567	156	6	117	100	16
301568	150	7	116	96	15
301569	146	8	116	95	17
301654	135	12	111	83	25
302033	163	12	122	98	22
302035	169	12	125	102	22
302036	167	12	120	99	23
302037	169	12	124	102	23
302042	156	12	103	100	19
302058	150	9	105	94	23
302190	160	15	130	96	30
302379	42	1	24	19	8
302396	33	1	15	16	7
302416	19	1	9	10	5
302417	19	1	9	10	5
303188	34	1	22	33	5
303193	32	1	23	33	5
303363	11	1	5	9	2
303374	24	1	12	15	2
303382	26	2	15	16	2
303408	36	3	19	26	4
303411	36	3	18	30	5
303414	41	3	20	31	5
303457	74	6	51	67	8
303606	132	11	101	116	18
303608	130	11	101	117	17
303609	131	11	99	116	18
303646	148	13	92	111	19
303647	155	13	97	113	17
303648	152	13	96	109	18
303796	159	9	113	69	24
303797	158	9	110	66	24
304059	131	6	111	82	17
304060	132	6	111	85	20
304062	132	6	109	85	19
304224	141	5	109	79	16
305846	6	3	8	3	1
305848	171	10	118	106	19
305849	172	10	120	109	20
305850	166	6	113	106	20
306730	199	10	143	118	28
306746	209	10	139	107	28
307018	7	1	8	6	5
307019	162	8	103	98	23
307507	75	4	54	40	4
307508	72	4	54	42	4
307529	31	2	37	21	2
307536	30	2	35	20	1
307537	29	1	36	20	1
307547	24	2	31	19	1
307548	21	2	27	19	1
308378	24	3	19	7	1
308383	31	3	21	9	3
308469	81	5	58	33	11
308471	77	5	56	32	11
308618	148	15	161	118	26
308619	156	15	162	118	26
309186	154	15	125	109	21
309327	172	14	142	108	15
309328	166	14	136	106	15
309332	176	14	147	111	15
309334	184	16	149	110	15
309336	176	16	149	111	16
309557	98	4	78	53	21
309558	99	4	79	53	21
309610	35	1	26	18	5
309770	21	2	25	17	9
309780	25	2	25	21	11
310223	162	7	103	95	31
310335	165	8	115	118	25
311287	159	6	88	102	25
311920	148	4	92	104	26
312434	142	10	96	98	28
312564	169	5	128	133	38
312871	59	4	44	44	23
312875	54	4	43	43	22
312912	32	1	27	22	17
313008	24	3	10	20	10
313023	34	3	20	25	14
313456	135	11	91	84	30
314319	62	10	51	60	16
314335	54	6	38	47	12
314375	37	4	21	27	8
314716	35	1	25	18	3
314718	24	1	17	16	2
314719	24	1	18	15	2
314860	12	2	9	4	4
314861	12	2	9	4	4
314865	17	3	12	5	6
314866	19	3	10	5	6
314877	23	4	17	8	7
314884	27	4	19	10	7
314886	29	5	21	10	7
314888	34	5	23	13	9
314890	37	5	23	14	8
314891	37	5	23	14	9
314892	36	5	24	14	9
315822	155	16	130	128	34
316342	146	14	117	115	31
316346	142	14	126	119	32
317095	199	15	102	94	38
317243	145	7	103	87	44
317454	136	13	119	82	36
318671	155	3	137	117	38
319128	155	10	136	111	48
319131	152	10	131	112	47
320216	148	6	112	87	14
320585	37	2	24	23	8
321211	14	1	9	8	6
322287	30	1	14	15	1
322290	29	1	15	16	1
322293	34	1	18	19	4
322357	80	3	41	46	15
322483	140	14	88	107	36
322583	157	13	106	93	24
322732	172	10	126	100	17
322822	136	11	114	102	15
322875	117	8	93	81	11
323263	174	9	95	130	36
323415	194	7	129	111	26
323640	36	2	28	19	3
323641	36	2	29	20	3
323642	34	2	29	22	3
331055	5	2	4	2	5
331067	10	4	3	2	9
332405	7	11	44	14	41
332534	7	7	17	3	26
332536	8	7	16	2	25
332538	7	7	16	3	26
332546	8	7	14	3	26
332561	5	3	8	3	20
332569	4	2	6	3	15
332575	1	2	7	3	14
332622	1	1	4	3	6
333771	9	7	15	5	17
333772	9	7	14	4	17
333773	9	7	15	5	17
333921	24	14	16	5	16
333923	24	14	17	5	15
333925	18	12	14	4	14
333926	14	10	14	3	13
333930	13	10	14	3	10
333948	11	11	14	2	13
333972	6	8	8	1	12
338588	8	8	14	4	21
338611	11	11	17	11	35
338627	12	11	18	11	36
338665	12	10	17	11	34
338688	9	9	13	9	32
340365	21	8	26	6	43
340366	20	7	21	5	39
340372	19	6	21	5	39
340374	18	7	21	4	31
340378	14	5	17	4	28
343175	4	2	1	1	8
343177	7	4	7	2	17
343181	18	7	9	4	24
343182	19	11	17	4	27
343183	19	11	17	4	28
343695	9	4	8	1	15
345185	18	1	13	14	2
345186	18	1	12	17	2
345187	20	1	16	17	2
345217	68	1	57	60	13
345219	69	2	55	59	13
345220	69	2	60	59	13
345221	70	2	60	59	12
346718	135	10	122	99	22
346979	130	6	139	81	29
348554	64	6	48	48	12
348555	66	6	46	48	13
348561	50	4	35	35	10
348565	52	4	34	33	8
348579	34	4	25	22	6
348581	36	3	25	23	4
348582	35	4	23	22	3
348587	31	3	20	13	2
348596	26	3	16	10	2
348598	25	3	14	10	2
348665	59	1	51	39	11
348667	61	1	53	38	12
348753	109	4	112	84	15
348754	108	4	116	85	16
348755	109	4	115	79	14
348815	82	7	111	79	17
348816	81	6	107	79	17
348817	82	7	108	79	16
348893	41	4	56	41	13
348903	31	4	44	33	13
348904	33	4	43	33	13
348908	24	3	34	27	12
348914	17	3	30	21	9
348915	18	3	31	21	8
348916	16	2	28	21	9
348934	9	1	18	10	8
348936	9	1	19	11	8
348937	7	1	18	9	7
349515	171	12	137	116	14
349584	165	9	135	104	20
349767	111	3	126	99	24
349768	106	3	125	94	23
349769	108	3	124	94	25
349890	91	7	101	71	17
350042	109	8	97	72	18
350044	113	8	100	71	18
350078	122	6	106	77	18
350226	69	4	59	48	6
350227	68	4	59	47	5
350228	67	4	56	47	5
350306	30	3	28	12	9
350350	63	3	65	42	14
350641	37	4	24	18	12
350662	29	2	15	12	10
350664	29	2	15	11	10
350670	27	1	14	11	10
350793	4	4	2	3	4
350799	11	4	4	5	5
350802	11	4	5	5	6
350805	12	4	4	5	7
351560	11	1	6	4	2
351575	17	1	10	9	2
351578	20	1	15	10	2
351579	20	1	15	11	2
351585	36	4	20	14	5
351606	53	5	37	24	8
351688	182	7	120	104	22
351832	164	1	120	87	19
351834	149	2	115	80	19
351835	146	2	115	81	19
353410	69	5	50	34	9
353430	64	5	44	31	9
353436	53	5	40	24	7
353437	50	5	38	24	7
353438	51	4	38	24	7
353441	41	3	27	17	6
354612	109	11	70	51	20
354615	108	11	68	43	20
354616	104	11	68	45	20
354618	94	9	57	38	19
354620	80	9	49	35	12
354621	76	9	46	34	13
354624	72	9	43	31	12
354639	56	4	33	25	9
354660	57	6	43	26	7
354669	51	6	40	23	5
354678	51	5	40	22	4
354681	52	4	42	26	6
354684	48	4	43	25	7
354708	30	5	42	30	11
354714	31	4	44	33	11
354723	39	4	51	39	12
354724	42	4	53	38	13
354729	55	4	56	41	14
354732	56	4	59	40	14
354735	65	4	59	42	14
354744	66	5	65	44	15
354746	68	5	65	45	14
354975	13	1	7	7	3
354993	11	1	6	7	3
355373	21	1	31	22	11
355382	22	1	38	28	10
355611	9	1	11	8	4
355618	17	1	15	11	7
355650	23	1	18	11	6
355735	33	2	26	21	15
355737	30	2	27	19	15
355738	31	2	28	19	15
355740	31	2	27	20	15
355741	30	2	25	20	15
355743	30	2	27	20	15
