sample_id	genome_length	covered_bases	fraction_covered	mean_coverage	aligned_reads	mapped_reads
W139_D5	2808298	2701521	0.961978037943	89.6684815702	1764407	1657647
W147_D1_Hoffman	2808298	2675865	0.952842255345	55.7211626894	1103385	1018347
W82_D5	2808298	2707552	0.964125602055	133.287747751	2744142	2466930
W141_D5_Hoffman	2808298	2698706	0.960975651444	157.948766928	3067430	2910209
W56_D1	2808298	2600811	0.926116459151	26.7129518446	524167	474210
W10_D1	2808298	2663974	0.948608018095	30.3753002094	589213	553242
W140_D5	2808298	2695177	0.959719018423	93.7780368414	1828606	1728254
W73_D5	2808298	2682485	0.955199555033	95.3661049363	1924589	1749640
W87_D5	2808298	2673657	0.952056013999	94.9809635267	1915605	1737591
W82_D1	2808298	2670624	0.95097600041	107.711720931	2185418	1970385
W146_D1_Hoffman	2808298	2703213	0.962580538105	64.3905178763	1290099	1192784
W119_D1	2808298	2578096	0.918027930084	212.851411274	4107058	3732114
W7_D1	2808298	2677463	0.953411283275	93.1862233017	1848219	1710495
W148_D1_Virome	2808298	2737899	0.974931791427	12.1965934463	248442	226621
W26_D1	2808298	2717269	0.967585704936	8.8920658941	171982	166123
W29_D1	2808298	2743707	0.976999948011	168.397456434	3322983	3165024
W83_D5	2808298	2674475	0.952347293628	80.6925968648	1605948	1472482
W146_D1_Virome	2808298	2603975	0.92724312021	6.03727570349	119779	106583
W23_D1	2808298	2616260	0.931617655961	142.134618119	2744653	2555667
W145_D5	2808298	2682599	0.955240149016	198.891010173	3989413	3643861
W144_D1	2808298	2706969	0.963918003004	75.7462726762	1455808	1411999
W30_D5	2808298	2732852	0.97313461748	103.671437751	2067316	1936038
W72_D5	2808298	2677994	0.953600365773	51.5504388733	1045281	944177
W44_D1	2808298	2599570	0.925674554481	104.156587051	1982482	1852248
W12_D5	2808298	2673839	0.952120821936	88.0475009901	1786871	1609966
W143_D5_Hoffman	2808298	2686828	0.956746043333	81.3972624969	1575412	1492057
W147_D5	2808298	2674457	0.952340884051	31.2523850636	636149	567079
W142_D5_Hoffman	2808298	2688022	0.957171211887	190.324558728	3704449	3494266
W141_D5	2808298	2697541	0.96056080943	96.3359667193	1912772	1777017
W7_D5	2808298	2675937	0.952867893649	95.393754412	1918554	1744916
W30_D1	2808298	2734122	0.973586848689	123.337804604	2416894	2308882
W75_D5	2808298	2716141	0.967184038161	124.864295337	2537052	2319273
W21_D1	2808298	2591072	0.922648522343	12.4999181806	241248	225839
W148_D1	2808298	2685557	0.956293456036	139.144151474	2725792	2548043
W148_D5	2808298	2678035	0.953614965363	92.860272924	1887585	1700913
W54_D5	2808298	2722730	0.969530299135	21.7200827846	433192	404909
W54_D1	2808298	2742737	0.976654543072	42.3109765902	834200	794962
W45_D1	2808298	2573543	0.916406663395	21.7220773074	406119	382058
W150_D5	2808298	2716817	0.967424753356	114.164982772	2334167	2117860
W105_D1	2808298	2733544	0.973381030076	196.686383318	3912568	3675725
W139_D1_Virome	2808298	2761164	0.983216168654	19.3300090107	399995	362885
W24_D1	2808298	2579381	0.918485502607	198.838634153	4141329	3512124
W140_D1	2808298	2693885	0.959258953288	172.501911923	3369235	3173304
W67_D5	2808298	2698888	0.961040459381	89.5507709101	1727211	1648399
W85_D5	2808298	2682757	0.955296410851	135.900305171	2759508	2493012
W41_D1	2808298	2578745	0.918259030915	185.428729091	3513736	3277198
W149_D5_Virome	2808298	2568088	0.914464205722	9.68776031039	198429	168615
W104_D1	2808298	2730228	0.972200243706	93.6100450219	1853589	1745156
W91_D5	2808298	2682621	0.955247982942	63.3453611226	1273047	1161428
W92_D5	2808298	2654370	0.945188153109	13.0523367127	261291	236512
W70_D5	2808298	2717130	0.967536208764	94.7749102914	1926642	1758153
W146_D5	2808298	2688428	0.957315783439	146.481424833	2962254	2692664
W64_D5	2808298	2694987	0.959651361786	34.9269495549	692059	643712
W12_D1	2808298	2682879	0.955339853534	101.665831743	2023097	1869803
W71_D5	2808298	2686145	0.956502835525	128.962914511	2580022	2364814
W68_D1	2808298	2735944	0.974235640235	97.4030184828	1888864	1820725
ASM_49	2808298	2610271	0.929485047527	24.7783820147	492852	441733
W41_D5	2808298	2558131	0.910918641825	29.0371130329	558131	507838
W147_D1	2808298	2675000	0.9525342396	160.480611589	3219522	2928246
W93_D5	2808298	2654991	0.945409283488	12.5843274045	252819	228842
W74_D5	2808298	2694589	0.959509638934	117.129346628	2353449	2155654
W65_D5	2808298	2688996	0.957518041177	13.6248142429	269066	250543
W52_D5	2808298	2723639	0.969853982733	29.2523972524	580706	544948
W11_D5	2808298	2674182	0.952242959971	77.3113168812	1567374	1415127
W140_D5_Hoffman	2808298	2694045	0.959315927298	141.195380181	2737888	2597128
W143_D1_Hoffman	2808298	2694955	0.959639966984	79.4113178142	1529158	1466619
W103_D1	2808298	2733138	0.973236458524	179.553973857	3564739	3353306
W9_D1	2808298	2674627	0.952401418938	102.189937139	2010331	1871797
W40_D5	2808298	2570928	0.91547549441	17.099832823	327382	300634
W103_D5	2808298	2729084	0.971792879531	67.2839696396	1310377	1250447
W149_D5_Hoffman	2808298	2681338	0.954791122595	197.434248498	3951459	3617598
W72_D1	2808298	2662558	0.948103798101	14.1510768967	276475	257000
ASM_44	2808298	2670044	0.950769469622	44.1315809777	859353	804572
W11_D1	2808298	2672757	0.951735535189	75.7004175838	1496254	1387310
W117_D1	2808298	2568968	0.91477756278	56.1424587617	1080832	986000
W69_D1	2808298	2750190	0.979308463703	103.286691829	2037569	1944104
W148_D5_Hoffman	2808298	2676359	0.953018162602	88.1894816801	1749196	1611376
ZYMO_Standard	2808298	2551585	0.908587692617	11.3746906335	214769	198138
W145_D5_Hoffman	2808298	2676784	0.953169499818	52.5699391509	1043778	958736
W142_D1_Hoffman	2808298	2693864	0.959251475449	35.4095180752	669739	651091
W19_D1	2808298	2581980	0.919410974191	9.78375781377	187406	173693
W148_D1_Hoffman	2808298	2677810	0.953534845661	57.7698111517	1123768	1059487
W142_D1_Virome	2808298	2750840	0.979539920621	15.2862667403	320781	285657
W149_D5	2808298	2717636	0.967716389073	95.1378867516	1959236	1768632
W64_D1	2808298	2741371	0.976168127457	51.4646733332	1039254	962916
W115_D1	2808298	2564924	0.913337544662	87.4035308649	1685008	1532562
W144_D5_Hoffman	2808298	2691319	0.958345232593	150.287895266	2927147	2760882
W53_D5	2808298	2716683	0.967377037622	20.2907678224	402635	377129
W118_D1	2808298	2564971	0.913354280778	82.8268487246	1587705	1445534
