site_id	W20_D1	W21_D1	W19_D1
16814	0.0263	0.0256	0
16836	0	0.0303	0.0222
16837	0	0.0303	0.0238
16838	0	0.0312	0.0227
16966	0.0204	0.0204	0
17085	0.0588	0	0
17088	0.0667	0	0
17090	0.069	0	0
17091	0.069	0	0
17093	0.0714	0	0
17114	0	0.0408	0
17762	0	0.0294	0
18243	0	0.0408	0
18436	0.0435	0	0
18534	0	0.0175	0.0185
18933	0	0	0.0732
18982	0.0377	0	0
19116	0	0.0364	0
19240	0.0217	0.0217	0
19254	0	0	0.05
19279	0.0164	0.0189	0
19303	0	0.0208	0.0208
19407	0	0	0.0303
19423	0.0278	0	0
19435	0.0417	0	0
19462	0.037	0	0
19470	0	0.0286	0
19471	0	0.0286	0
19534	0	0	0.0426
19537	0	0	0.0444
19597	0.0667	0	0
19684	0	0	0.037
19685	0	0	0.037
19687	0	0	0.0339
19808	0	0	0.0444
20354	0	0.0426	0
20384	0	0.0392	0
20387	0.0244	0.0189	0
20493	0	0	0.0303
20495	0	0	0.0317
20590	0.0339	0	0
20647	0	0	0.0541
20728	0.0357	0	0
20789	0.0339	0	0
20790	0.0312	0	0
20927	0	0.05	0
20934	0.037	0.0244	0
20935	0.0364	0	0
21084	0.0189	0.0227	0
21096	0.0357	0	0
21109	0.0435	0	0
21254	0	0.0408	0
21727	0.0185	0	0.0233
22089	0	0.0185	0.0238
22214	0.0476	0	0
22278	0	0.0588	0
22362	0	0	0.0435
22448	0.0294	0	0
22459	0	0	0.0333
22462	0.0645	0	0
22665	0.04	0	0
22769	0.05	0	0
22882	0	0.0185	0.0238
22949	0.0339	0.0233	0
23045	0	0	0.0714
23111	0	0.037	0
23129	0.0541	0	0
23196	0	0	0.0566
23288	0.0408	0	0
23317	0	0.0488	0
23562	0	0.0465	0
23638	0	0.0408	0
23942	0	0	0.0625
23945	0.0408	0	0
23962	0	0	0.0606
23967	0	0.04	0
24032	0	0.0435	0
24085	0.0351	0	0
24092	0	0	0.0513
24191	0	0.0217	0.0217
24343	0	0	0.0392
24344	0	0	0.037
24346	0	0	0.0364
24348	0	0	0.0345
24350	0	0	0.0333
24352	0	0	0.0357
24353	0	0	0.0333
24355	0	0	0.0328
24359	0	0	0.0328
24376	0	0.037	0
24465	0	0.0606	0
24467	0	0.0625	0
24471	0.0526	0	0
24493	0	0	0.0417
24499	0	0	0.0435
24501	0	0	0.0465
24532	0.0227	0.0244	0
24693	0.0377	0	0
24929	0	0.0286	0
24931	0	0.0294	0
24932	0	0.0312	0
24934	0	0.0312	0
24944	0.037	0	0
24956	0	0.0333	0
24978	0.0312	0	0
25040	0	0	0.0357
25043	0	0.037	0
25045	0	0	0.0333
25113	0	0	0.05
25168	0	0	0.0263
25171	0	0.0435	0
25176	0	0.04	0
25224	0	0.0588	0
25347	0	0.0488	0
25348	0	0.0488	0
25413	0	0.0513	0
25424	0	0	0.0357
25735	0	0.0345	0
25773	0	0.0357	0
25777	0	0.0333	0
25783	0.027	0	0
25796	0	0.0476	0
25835	0	0.0417	0
25844	0	0.0417	0
25845	0	0.04	0
25860	0	0.0385	0
25877	0	0	0.0385
25896	0.0286	0	0
25956	0	0.0392	0
25985	0	0.0426	0
26034	0	0.0652	0
26045	0.0488	0	0
26106	0	0.05	0
26107	0.0233	0.0526	0
26181	0	0.0698	0
26183	0	0.0455	0
26186	0	0.0682	0
26250	0.0789	0	0
26251	0.0833	0	0
26291	0	0.0408	0
26395	0.0938	0	0
26396	0.0968	0	0
26400	0.075	0	0
26439	0.0667	0	0
26470	0.0645	0	0
26478	0.0645	0	0
26497	0	0.0364	0
26707	0	0	0.0303
26715	0	0	0.0286
26733	0	0	0.0476
26736	0	0	0.05
26865	0	0.05	0
26879	0	0	0.0408
26881	0	0	0.0426
26993	0	0	0.0417
27007	0	0.0333	0
27015	0	0.0328	0
27016	0	0.0364	0
27043	0.0196	0.0217	0
27045	0	0.0455	0
27400	0.0308	0	0
27441	0.0364	0	0
27444	0.0333	0	0
27614	0.0312	0	0
27663	0.02	0.0196	0
27706	0.0351	0	0
27917	0.0408	0	0.0196
27918	0.037	0	0.0192
27919	0.0385	0	0.0192
27947	0.037	0	0
28007	0.0741	0	0
28038	0	0.0667	0
28039	0	0.0566	0
28040	0	0.0577	0
28071	0.0351	0	0.0233
28153	0.0172	0.0182	0
28176	0	0	0.0667
28186	0	0.0577	0
28230	0.0364	0	0
28248	0.0377	0	0
28313	0.0357	0	0
28548	0	0	0.027
28554	0.0345	0	0
28576	0	0	0.0465
28686	0	0.0294	0
28761	0	0.0303	0
28886	0	0	0.0256
28897	0	0.04	0
28917	0.0312	0	0
28941	0	0	0.0444
28942	0	0	0.0455
28943	0	0	0.0488
28982	0.0667	0	0
29036	0	0.0222	0.0208
29043	0	0	0.0357
29046	0	0	0.0351
29094	0	0.0333	0
29184	0.0444	0	0
29187	0.0476	0.0227	0
29190	0	0	0.0476
29191	0	0	0.0426
29192	0	0	0.0444
29198	0.0244	0	0.0256
29334	0.0339	0	0
29417	0.0323	0	0
29470	0.0308	0	0.0139
29472	0.0286	0	0.0141
29515	0	0.0274	0
29531	0.0182	0	0.0159
29867	0	0	0.0294
29894	0.0513	0	0
30043	0.0141	0	0.0189
30052	0.0299	0	0
30143	0	0	0.0385
30162	0.0656	0	0
30455	0	0	0.0426
30514	0	0.0392	0
30528	0	0	0.0476
30579	0	0.0192	0.0227
30631	0	0	0.0392
30653	0.0222	0.0227	0.0185
30759	0	0.0435	0
30760	0	0.0444	0
30783	0	0	0.04
30908	0	0.0357	0
30911	0	0.0357	0
30937	0	0.0556	0
30938	0	0.0556	0
30939	0	0.0392	0
31162	0	0.0345	0
31411	0	0.0159	0.0159
31616	0	0.0465	0
31632	0.0222	0	0.0179
31639	0.0444	0	0
31640	0.0435	0	0
31642	0.0426	0	0
31713	0	0.0638	0
31791	0.0385	0	0
31911	0	0.0286	0.0179
31980	0	0.0357	0
32082	0.0145	0	0.0141
32085	0.0143	0.0164	0.0141
32409	0	0	0.0385
32714	0	0	0.0392
32779	0	0	0.0444
32795	0	0	0.0444
32822	0	0	0.0556
32862	0	0.0465	0
32931	0.0678	0	0
32962	0	0.0294	0.0278
32963	0	0.0286	0.0303
33087	0	0.0488	0
33108	0	0.0238	0.0213
33109	0	0.0238	0.0233
33114	0	0.0238	0.0233
33190	0	0	0.0513
33326	0	0	0.0385
33327	0	0	0.037
33328	0	0	0.037
33367	0	0.0351	0
33462	0	0	0.0351
33477	0	0.037	0
33607	0	0	0.0303
33665	0	0	0.0339
33721	0	0.0488	0
33944	0.0909	0	0
33945	0.0909	0	0
33946	0	0	0.0444
33948	0.0909	0	0
34092	0.0645	0	0
34166	0	0.0465	0
34254	0.0323	0	0
34277	0	0.0263	0
34278	0	0.0244	0
34280	0	0.0238	0
34301	0	0.0244	0
34343	0.037	0	0
34348	0	0.0204	0
34352	0	0.0192	0
34502	0	0	0.0323
34602	0.0465	0	0
34691	0.0213	0.0172	0
34841	0.05	0	0
34918	0.0392	0	0
34979	0	0.0441	0
35008	0	0	0.0303
35021	0.0323	0	0
35149	0	0	0.0303
35255	0	0.04	0
35325	0	0	0.0328
35348	0.0667	0	0
35349	0.0652	0	0
35350	0.0638	0	0
35392	0	0.0385	0
35460	0	0.0192	0.0333
35473	0	0	0.0339
35493	0.04	0	0
35804	0	0.0377	0
35850	0	0	0.0392
35909	0	0.0385	0
35951	0	0	0.0784
36059	0	0.0417	0
36115	0	0	0.05
36116	0.037	0	0
36347	0.0426	0	0
36348	0	0.0408	0
36510	0.0189	0.0263	0
36607	0.0408	0	0
36666	0.0513	0	0
36680	0	0	0.0526
36837	0	0	0.0556
36852	0.037	0	0
37123	0	0	0.0571
37134	0.0351	0	0
37205	0	0.0392	0
37503	0	0.0299	0
37529	0.0167	0.0152	0
37548	0	0	0.0282
37550	0	0	0.0312
37700	0	0	0.0364
37701	0	0	0.0339
37786	0	0	0.0435
37795	0	0	0.0426
37800	0	0	0.037
38152	0.0392	0	0
38174	0	0.0465	0
38282	0.0833	0	0
38353	0.0392	0	0
38451	0.0328	0	0
38486	0.0323	0	0
38545	0	0.0444	0
38570	0.0377	0	0
38576	0.0417	0	0
38673	0	0.0588	0
38809	0	0.037	0
38810	0	0.0175	0.0169
38815	0	0.0303	0
38816	0	0.0299	0
38936	0	0	0.037
38960	0	0.037	0
38965	0	0.027	0
38966	0	0.0274	0
39050	0.0317	0	0
39201	0.0417	0	0
39202	0.0426	0	0
39302	0.037	0	0
39433	0	0.0185	0.0167
39495	0.0222	0.0152	0
39500	0.0455	0	0
39700	0	0	0.0597
39715	0	0.0351	0
39912	0	0.0196	0.0333
39914	0	0.04	0.0333
39916	0	0.0392	0.0328
39918	0.0185	0.0192	0.0328
39930	0	0	0.04
39969	0	0.0488	0
40059	0	0.0222	0.0294
40061	0	0.0417	0.0282
40063	0	0.0444	0.027
40066	0	0.0238	0.0278
40169	0	0	0.0488
40170	0	0	0.0541
40173	0	0	0.0465
40174	0	0	0.05
40317	0	0	0.0426
40320	0	0	0.0408
40324	0	0	0.04
40353	0.0159	0.0312	0.0238
40355	0.0167	0.0333	0.025
40570	0.0323	0	0
40617	0.0156	0	0.0233
40781	0	0.0426	0
40893	0	0.0476	0
41307	0.0465	0	0
41384	0	0.0323	0
41392	0	0	0.0263
41393	0	0	0.0263
41395	0	0	0.027
41587	0.0417	0	0
41667	0.0328	0	0
41761	0.0678	0	0
42091	0	0	0.0625
42092	0	0	0.0769
42093	0	0	0.0638
42195	0	0.0426	0
42239	0	0	0.0536
42242	0	0	0.0508
42262	0.0377	0	0
42263	0.037	0	0
42264	0.037	0.0192	0
42268	0	0	0.0351
42301	0	0	0.037
42412	0.0274	0	0
42413	0.027	0	0
42414	0.0274	0	0
42415	0.0267	0	0
42464	0.0308	0	0
42496	0.0328	0	0
42498	0.0345	0	0
42516	0.0175	0.0222	0
42640	0	0	0.0303
42663	0	0	0.0323
42738	0	0	0.037
42739	0	0	0.0364
42740	0	0	0.0357
42742	0	0	0.037
42892	0.0256	0	0.0189
42940	0	0.0444	0
43032	0	0.0408	0
43043	0	0.0189	0.0213
43079	0.0444	0.0189	0
43094	0.0217	0.0182	0
43334	0.0435	0	0
43529	0.0556	0.0179	0
43535	0.0278	0.0182	0
43549	0	0.0189	0.0345
43550	0	0.0182	0.0333
43665	0	0	0.0308
43670	0	0.0164	0.0161
43700	0	0	0.0408
43957	0.0351	0	0
44156	0.0714	0	0
44198	0.0227	0	0.0204
44200	0.0213	0	0.0185
44306	0.0588	0	0
44344	0.0328	0	0.0169
44345	0.0169	0	0.0182
44347	0.0175	0	0.0175
44348	0.0172	0	0.0169
44405	0	0	0.0435
44406	0.0465	0	0
44460	0.0213	0	0.0357
44469	0.0196	0.0196	0
44583	0	0	0.0303
44610	0.0455	0	0.0345
44722	0	0	0.04
44724	0	0	0.0417
44727	0.0333	0.0169	0
44808	0.0476	0	0
44813	0.0455	0	0
44868	0	0	0.0645
44871	0	0	0.0645
44872	0	0	0.0667
44873	0	0	0.0645
44896	0	0	0.0714
44897	0	0	0.069
44964	0.0192	0	0.0217
45194	0.0274	0	0
45195	0.027	0	0
45196	0.027	0	0
45229	0	0	0.0392
45279	0.0755	0	0
45441	0.0238	0	0.0185
45443	0	0.0426	0
45515	0.0556	0	0
45518	0.0465	0	0
45699	0	0	0.0476
45721	0	0.0364	0
45885	0	0.0577	0
45896	0	0.0577	0
45905	0	0.0612	0
46013	0	0.0435	0
46154	0	0.0213	0.0217
46205	0	0.0392	0
46339	0	0.04	0
46374	0	0.0536	0
46375	0	0.0385	0
46501	0	0	0.0484
46527	0.0339	0	0
46700	0	0	0.0385
46719	0	0.0128	0.0161
47020	0	0	0.0465
47043	0	0.0208	0.0227
47044	0	0.0192	0.0227
47046	0	0.0435	0
47051	0	0.0175	0.0213
47123	0	0.0377	0
47124	0	0.0351	0
47125	0	0.0545	0
47126	0	0.0357	0
47190	0	0.0179	0.0217
47223	0	0.0204	0.0488
47272	0	0.0351	0
47277	0	0.0323	0
47278	0	0.0339	0
47372	0	0.0222	0.0364
47373	0	0.0213	0.037
47561	0	0	0.0317
47564	0	0	0.0357
47714	0	0.0417	0
47790	0	0.0256	0
47799	0	0	0.0303
47801	0	0	0.0323
47861	0.027	0	0.0233
47944	0	0	0.0385
47946	0	0	0.04
47987	0.191	0.0889	0.122
48031	0.0455	0	0
48340	0.0385	0	0
48607	0	0	0.0625
48649	0	0	0.0682
48692	0	0.0357	0
48693	0	0.0312	0
48694	0	0.0308	0
48767	0	0	0.0312
48768	0.0169	0	0.0299
48804	0	0.0345	0
48840	0	0.029	0.0169
48847	0	0	0.0345
48913	0	0	0.0455
48927	0	0.0351	0
49058	0.0217	0	0.0267
49059	0	0	0.0385
49060	0	0	0.029
49061	0	0	0.029
49230	0.0132	0	0.0282
49397	0.0267	0	0
49430	0	0.0196	0.0455
49431	0	0	0.0435
49566	0	0	0.0364
49572	0	0	0.0345
49606	0.0476	0	0
49712	0	0	0.0351
49719	0	0	0.0357
49720	0	0	0.0364
49721	0	0	0.037
49824	0.0476	0	0
49873	0	0	0.0323
50003	0.025	0.0278	0
50470	0	0	0.0392
50731	0.0408	0	0
50929	0	0.0417	0
51115	0.0274	0	0
51246	0.0312	0.0159	0
51359	0	0.0426	0
51515	0.0147	0.0465	0
51578	0.0137	0	0.0172
51595	0.0122	0.0536	0
51821	0	0.0286	0
51919	0	0.0361	0
51986	0	0.0345	0
52093	0	0	0.0417
52094	0	0	0.0411
52190	0	0.0364	0
52202	0.0308	0	0
52204	0.0303	0	0
52205	0.0317	0	0
52237	0	0	0.038
52238	0	0	0.037
52241	0	0	0.0375
52242	0	0	0.039
52533	0	0	0.0392
52581	0	0	0.0385
52635	0.0476	0	0
52680	0	0	0.0385
52681	0	0	0.0377
52919	0.023	0	0
52937	0.0112	0	0.0204
53035	0.0135	0	0.0196
53267	0	0.0455	0
53591	0.0196	0.0152	0
53649	0	0	0.0364
53724	0.0465	0	0
54085	0.0417	0	0
54086	0.0444	0	0
54101	0.0208	0.0444	0
54166	0	0.0476	0
54235	0.0541	0	0
54236	0.0444	0	0
54237	0.0455	0	0
54245	0	0.04	0
54246	0	0.0417	0
54363	0.0541	0	0
54446	0	0.0455	0
54587	0	0	0.0444
54741	0	0.0571	0
54800	0	0.0426	0
54801	0	0.0435	0
54843	0.0465	0	0
54950	0	0.0408	0
54951	0	0.0385	0
54971	0.0444	0	0
55025	0.0208	0	0.0196
55065	0	0	0.0408
55102	0	0	0.04
55173	0	0.02	0.0204
55174	0	0.0204	0.0192
55178	0	0.0192	0.02
55179	0	0.0208	0.0208
55252	0	0	0.0339
55303	0	0.0286	0
55304	0	0.0286	0
55319	0.0222	0.0145	0
55338	0	0	0.06
55350	0.0435	0	0
55450	0	0.0172	0.0222
55645	0.0286	0	0.0189
55689	0.0588	0	0
55741	0.0345	0	0
55750	0	0.0294	0
55766	0	0	0.0263
56154	0	0	0.0513
56223	0	0.04	0
56226	0	0.0204	0.0238
56266	0	0.0476	0
56339	0	0.069	0
56359	0	0	0.0385
56360	0	0	0.04
56363	0	0	0.0385
56364	0	0	0.0364
56463	0.0392	0	0
56489	0	0	0.0317
56490	0	0	0.0328
56511	0	0	0.0323
56512	0	0	0.0345
56513	0	0	0.0333
56517	0	0.0588	0
56598	0	0.0465	0
56663	0	0	0.0408
57049	0	0.0357	0
57166	0	0	0.0323
57382	0	0.0377	0
57460	0	0	0.0408
57519	0	0.0465	0
57532	0	0.0192	0.02
57610	0	0	0.05
57637	0	0	0.05
58252	0	0	0.0435
58462	0	0.0139	0.0377
58471	0	0.0545	0
58491	0.0488	0	0
58576	0.0408	0	0
58647	0	0.0286	0
58672	0	0.0282	0.0169
58738	0	0	0.0377
58739	0	0	0.037
58806	0.0455	0	0
58807	0.0435	0	0
58809	0.0417	0	0
58844	0	0	0.0889
58889	0	0	0.0377
58890	0	0	0.04
58998	0	0	0.0435
59115	0.0435	0	0
59147	0.0556	0	0
59149	0.0556	0	0
59177	0	0	0.0476
59298	0.0556	0.0161	0
59299	0.0556	0.0164	0.0238
59424	0	0.0455	0
59459	0	0	0.0526
59479	0.0698	0	0
59524	0	0.04	0
59539	0.0294	0	0
59549	0	0	0.0526
59579	0	0	0.0345
59594	0	0.0385	0
59629	0.037	0	0
59670	0.0238	0.0357	0
59786	0.0161	0.0152	0
59820	0	0.0303	0
59935	0	0.0408	0
59954	0	0	0.0303
59957	0	0	0.0323
60011	0	0	0.0408
60055	0	0.0513	0
60220	0	0	0.04
60238	0	0.0476	0
60256	0	0	0.133
60288	0	0	0.0526
60289	0	0.027	0
60291	0	0.0312	0
60310	0.0294	0	0
60313	0.0588	0	0
60585	0	0	0.0426
60632	0	0	0.0698
60634	0	0	0.0714
60636	0	0	0.0811
60782	0	0	0.0698
60783	0	0	0.0714
60785	0	0	0.0682
60790	0.0476	0	0
60791	0.0455	0	0
60838	0.0294	0	0
60840	0.0294	0	0
60883	0	0	0.0312
60884	0	0	0.0312
60886	0	0	0.0294
60888	0	0	0.0625
60890	0	0.037	0
60891	0	0.0385	0
60899	0	0.0385	0
60900	0	0.04	0
60932	0	0	0.04
60934	0	0.0385	0
60964	0	0.0345	0
61308	0.0541	0	0
61351	0.0233	0	0
61711	0	0	0.0426
61714	0	0	0.0435
61745	0.0385	0	0
61787	0	0	0.0541
61900	0.0465	0	0
62153	0.0615	0	0
62253	0.0723	0	0
62273	0.0274	0	0
62359	0	0	0.0364
62445	0.0169	0	0.0222
62675	0	0	0.0784
62793	0	0	0.0426
62889	0	0	0.0417
62919	0	0	0.0455
63148	0	0.0444	0
63498	0	0.0303	0
63563	0.0556	0	0.0227
63565	0.0588	0	0.0227
63711	0.0392	0	0.0196
63713	0.0385	0	0.0196
63733	0	0.0333	0
63734	0	0.0323	0
63735	0	0.0339	0
63736	0	0.0333	0
63751	0	0	0.0417
63818	0	0.0444	0
63883	0	0.0714	0
63885	0	0.069	0
64206	0	0.0385	0
64273	0.0328	0	0
64275	0.0312	0	0
64280	0.0308	0	0
64285	0	0.037	0
64381	0	0	0.0444
64432	0	0.0417	0
64434	0	0.0426	0
64541	0	0.0333	0
64837	0	0	0.0513
65006	0.0435	0	0
65227	0.111	0	0
65242	0	0.05	0
65283	0.0435	0	0
65293	0	0	0.027
65295	0.0435	0	0.0256
65298	0	0	0.0476
65321	0	0.0556	0
65443	0.0159	0	0.0185
65444	0.0164	0	0.0192
65445	0.0154	0	0.0185
65470	0.037	0	0
65500	0.0357	0	0
65577	0	0	0.0444
65986	0	0	0.0333
65993	0.0179	0.0179	0
66076	0	0.0556	0
66096	0.0154	0	0.0149
66421	0.0161	0.0213	0
66433	0.0357	0	0
66653	0	0.0328	0
66998	0	0	0.0351
67015	0	0	0.0339
67156	0	0.0556	0
67180	0.037	0	0
67206	0	0	0.0455
67209	0.0278	0	0.0217
67212	0	0	0.0513
67213	0	0.0541	0.0455
67214	0	0.0488	0.0476
67215	0	0.0465	0.0455
67351	0.0476	0	0
67352	0.0455	0	0
67353	0.0444	0	0
67366	0	0	0.0556
67367	0	0	0.0541
67420	0	0.0455	0
67427	0.0213	0	0.0244
67484	0	0	0.0476
67489	0	0.0426	0
67501	0.0417	0	0
67582	0	0	0.0488
67645	0	0	0.0465
67735	0	0.0652	0
67858	0	0.0377	0
68008	0	0.0435	0
68009	0	0.0417	0
68193	0.0526	0	0
68275	0	0	0.027
68369	0.0444	0	0
68772	0	0	0.0444
68774	0	0	0.0455
68898	0	0	0.0303
68912	0	0	0.0286
68921	0	0	0.0299
68924	0	0	0.0278
68943	0	0	0.0294
68990	0	0	0.0339
69112	0.0435	0	0
69267	0	0.04	0
69269	0	0.0408	0
69308	0	0.0392	0
69354	0.0638	0	0
69376	0.04	0	0
69377	0.0408	0	0
69378	0.0408	0	0
69416	0	0.0426	0
69418	0	0.0444	0
69448	0	0.075	0
69527	0.0444	0	0
69528	0.0455	0	0
69597	0.0294	0.0508	0
69831	0	0	0.0455
69946	0	0.0351	0
69969	0.0455	0	0
70055	0.0435	0	0
70110	0.0444	0	0
70254	0	0	0.0714
70255	0	0	0.0741
70258	0	0	0.0714
70262	0	0	0.0714
70403	0	0	0.0556
70405	0	0	0.0476
70407	0.0227	0	0.027
70538	0.0465	0	0
70686	0.0208	0.0303	0
70687	0.0204	0	0.0213
71254	0.0408	0	0
71448	0	0.0233	0
71461	0	0	0.0714
71465	0.0333	0	0
71583	0.0286	0	0
71745	0.0408	0	0
71748	0.0417	0	0
71919	0.0179	0.0185	0
71959	0	0.0392	0
71984	0	0	0.0364
72100	0.013	0	0.0179
72146	0.0267	0	0
72190	0	0.0385	0
72195	0	0.04	0
72196	0	0.0408	0
72199	0	0.0465	0
72201	0	0.0455	0
72272	0	0	0.0364
72625	0.0377	0	0
72658	0.0357	0	0
72683	0	0.0185	0.0189
72746	0	0	0.0377
72835	0	0.0308	0
72900	0.0317	0	0
72953	0	0	0.026
72962	0	0.0253	0.0119
72963	0	0.0395	0.013
73108	0.0179	0	0.02
73110	0	0.0588	0.0204
73113	0	0.093	0.0222
73330	0.0545	0	0
73331	0.0588	0	0
73419	0	0.0364	0
73475	0.0536	0	0
73477	0.0545	0	0
73994	0	0	0.0333
74238	0.0455	0	0
74265	0.0182	0.0426	0
74362	0	0	0.0714
74414	0.0256	0.0571	0
74415	0.0244	0.0588	0
74420	0	0.069	0
74436	0.0303	0	0
74591	0.0426	0	0
74804	0.0455	0	0
75143	0.0345	0	0
75145	0.0339	0	0
75257	0	0.0476	0
75335	0	0.0882	0
75429	0.0408	0	0
75552	0.0476	0	0
75596	0.0488	0	0
75683	0	0.0263	0.0227
75700	0.0556	0	0
75841	0	0.0222	0.0256
75843	0	0	0.0476
75932	0	0.0317	0
75991	0	0.0294	0
76187	0	0	0.0308
76329	0	0	0.037
76594	0	0.0339	0
76707	0.0312	0	0
76729	0	0	0.0274
77159	0.0377	0	0
