sample_id	genome_length	covered_bases	fraction_covered	mean_coverage	aligned_reads	mapped_reads
W27_D5	6601216	5984201	0.906530099909	38.4587280741	1724413	1590781
W38_D1	6601216	5635466	0.85370119687	74.5578999146	4660506	2898938
W39_D5	6601216	5959539	0.902794121568	65.9334869694	2903166	2707830
W13_D1	6601216	5969696	0.904332777476	59.3156510817	2629659	2446276
W50_D1	6601216	5948391	0.901105341804	63.6133650259	2715665	2620289
W27_D1	6601216	5996337	0.908368549067	95.3741322411	4190923	3967572
W37_D1	6601216	5694155	0.862591831566	94.3562804314	5897923	3705069
Mock_3	6601216	6053519	0.91703089249	23.4084087289	1031564	974999
W14_D5	6601216	5897444	0.893387521329	83.9934725959	3656962	3414766
W110_D5	6601216	5956962	0.902403738947	54.5531106292	2409229	2240793
W106_D1	6601216	5981849	0.906173801918	48.7197971731	2146498	2005975
W150_D1_Virome	6601216	6043060	0.915446487435	8.59026304554	381109	353934
W100_D5	6601216	5989380	0.907314652331	54.4893761959	2431576	2250338
W148_D1_Virome	6601216	5940883	0.899967975597	6.49725806753	284054	263148
W17_D5	6601216	5889954	0.892252881893	47.5110805619	2075372	1934387
W26_D1	6601216	6003291	0.909421991342	70.0962951821	3055561	2920841
W35_D5	6601216	5960095	0.902878348474	67.9438931762	3007965	2792602
W30_D5	6601216	6027686	0.91311752259	11.7482538075	524408	486837
W31_D1	6601216	6015882	0.911329367195	100.450470106	4484214	4225835
W5_D1	6601216	5930699	0.898425229533	20.1715214345	863759	827153
W86_D5	6601216	5989178	0.907284051908	68.2372928305	3064879	2820905
W15_D1	6601216	5892622	0.892657049853	54.2785680127	2414675	2271039
W108_D1	6601216	5985639	0.906747938562	72.5314343214	3207084	2990283
HM681	6601216	5945149	0.900614220168	70.4106341153	3089004	2881621
W18_D5	6601216	5910153	0.895312772677	47.0106814494	2063192	1921310
W17_D1	6601216	5896158	0.893192708737	58.144204582	2508158	2374446
W1_D1	6601216	5930506	0.898395992496	28.4446860015	1204521	1168078
W139_D1_Virome	6601216	6115175	0.92637098983	12.1629698251	553684	508157
Mock_6	6601216	6053540	0.917034073722	23.8117024088	1054535	989905
W16_D5	6601216	5897456	0.893389339176	52.9393648719	2319894	2155645
W107_D5	6601216	5981607	0.906137142005	43.550066228	1927582	1792222
W92_D5	6601216	5899571	0.893709734691	42.9066971141	1864883	1740650
W32_D5	6601216	5990711	0.907516281849	65.2821354594	2913239	2698181
W93_D5	6601216	5903376	0.894286143644	52.4489922377	2298173	2135888
W33_D1	6601216	6023912	0.912545809742	94.3951194838	4143731	3939345
W33_D5	6601216	5983862	0.906478745734	49.4475166707	2204206	2039834
W49_D1	6601216	5949206	0.901228803905	52.071279596	2205896	2140569
W36_D1	6601216	5630331	0.852923309887	72.2566200815	4461959	2807991
W26_D5	6601216	5983508	0.906425119251	48.4673861888	2179343	2005663
Mock_1	6601216	6053118	0.916970146106	20.6503897661	910395	859937
W32_D1	6601216	6001716	0.909183398937	95.0390028452	4209762	3953811
ZYMO_Standard	6601216	5978374	0.905647383755	7.79559157724	339138	320431
W88_D5	6601216	5912876	0.895725272435	63.0608866142	2756155	2568111
Mock_5	6601216	6057669	0.917659564541	28.4717742089	1269855	1185561
W142_D1_Virome	6601216	6067478	0.919145502889	10.2950853715	471938	426257
W90_D5	6601216	5895505	0.893093787569	56.6270082037	2466743	2303644
W102_D5	6601216	5978906	0.905727974967	32.5742970369	1425247	1336045
